# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.0486779434e+01    3.4940757189e-01    1.0239647797e+03    1.0240000000e+03    0.0000000000e+00   -1.0493663966e+01    9.8916777726e-01    1.0000000000e+00
         1   -1.0494677798e+01    3.7963982608e-01    1.0240421031e+03    1.0240000000e+03    3.3333333333e-01   -1.0483339894e+01    9.9069982945e-01    9.9218750000e-01
         2   -1.0508158645e+01    3.7675049984e-01    1.0240464371e+03    1.0240000000e+03    6.6666666667e-01   -1.0498789345e+01    9.9327520256e-01    9.9804687500e-01
         3   -1.0495999674e+01    4.0444979213e-01    1.0218816865e+03    1.0220000000e+03    0.0000000000e+00   -1.0512693415e+01    9.9077616285e-01    9.9902152642e-01
         4   -1.0495390352e+01    3.8925514918e-01    1.0291044573e+03    1.0270000000e+03    3.3333333333e-01   -1.0288918858e+01    9.8976803707e-01    9.9707887050e-01
         5   -1.0501024572e+01    4.1523049232e-01    1.0229764528e+03    1.0280000000e+03    3.3333333333e-01   -1.0992634203e+01    9.8961803932e-01    9.9124513619e-01
         6   -1.0499166271e+01    6.6582840658e-01    1.0199960075e+03    1.0190000000e+03    1.0000000000e+00   -1.0401018801e+01    9.9099239174e-01    9.9607458292e-01
         7   -1.0502806760e+01    3.8152554660e-01    1.0200431277e+03    1.0160000000e+03    3.3333333333e-01   -1.0107384916e+01    9.8983667945e-01    1.0000000000e+00
         8   -1.0489514709e+01    4.3029605744e-01    1.0228426251e+03    1.0190000000e+03    0.0000000000e+00   -1.0115644946e+01    9.9024526752e-01    1.0000000000e+00
         9   -1.0502270160e+01    3.9712685290e-01    1.0282167636e+03    1.0270000000e+03    6.6666666667e-01   -1.0376425893e+01    9.9127812387e-01    9.9902629017e-01
        10   -1.0521900047e+01    3.8404522307e-01    1.0279038623e+03    1.0320000000e+03    6.6666666667e-01   -1.0913217932e+01    9.8930519706e-01    9.9612403101e-01
        11   -1.0496383823e+01    3.3836442113e-01    1.0249970967e+03    1.0290000000e+03    3.3333333333e-01   -1.0902411737e+01    9.9062564180e-01    9.9708454810e-01
        12   -1.0502019565e+01    3.9192612828e-01    1.0270464612e+03    1.0280000000e+03    3.3333333333e-01   -1.0593709167e+01    9.8797780684e-01    9.9902723735e-01
        13   -1.0506629201e+01    3.4482488854e-01    1.0239915935e+03    1.0270000000e+03    0.0000000000e+00   -1.0799083864e+01    9.9106169178e-01    9.9318403116e-01
        14   -1.0496567034e+01    3.5119748516e-01    1.0209772186e+03    1.0210000000e+03    6.6666666667e-01   -1.0505808253e+01    9.9307937559e-01    9.9902056807e-01
        15   -1.0485734319e+01    3.2683518844e-01    1.0229261829e+03    1.0200000000e+03    3.3333333333e-01   -1.0200936984e+01    9.9168427772e-01    9.9901960784e-01
        16   -1.0505283578e+01    4.1707088630e-01    1.0241754307e+03    1.0230000000e+03    0.0000000000e+00   -1.0380814348e+01    9.9189104806e-01    9.9902248289e-01
        17   -1.0522105403e+01    4.0142115234e-01    1.0238987912e+03    1.0240000000e+03    3.3333333333e-01   -1.0522414020e+01    9.9009217676e-01    9.9609375000e-01
        18   -1.0512395155e+01    4.3702022902e-01    1.0200499985e+03    1.0200000000e+03    0.0000000000e+00   -1.0512221240e+01    9.8821875405e-01    1.0000000000e+00
        19   -1.0501284925e+01    3.5470053558e-01    1.0258488301e+03    1.0220000000e+03    0.0000000000e+00   -1.0125906913e+01    9.9263440453e-01    9.9510763209e-01
        20   -1.0512707684e+01    3.5320981826e-01    1.0182539624e+03    1.0200000000e+03    0.0000000000e+00   -1.0681671940e+01    9.9337252417e-01    9.9803921569e-01
        21   -1.0520529606e+01    3.6339405699e-01    1.0180935806e+03    1.0180000000e+03    3.3333333333e-01   -1.0507080516e+01    9.9165589178e-01    9.9705304519e-01
        22   -1.0515296567e+01    3.4312821428e-01    1.0180838457e+03    1.0180000000e+03    3.3333333333e-01   -1.0510833958e+01    9.9228855818e-01    1.0000000000e+00
        23   -1.0526778219e+01    3.3830778721e-01    1.0190921759e+03    1.0190000000e+03    3.3333333333e-01   -1.0510383704e+01    9.9315972667e-01    9.9607458292e-01
        24   -1.0524948935e+01    3.2511900509e-01    1.0161181668e+03    1.0160000000e+03    3.3333333333e-01   -1.0514023700e+01    9.9333987696e-01    1.0000000000e+00
        25   -1.0526029144e+01    3.9053588452e-01    1.0201246035e+03    1.0200000000e+03    0.0000000000e+00   -1.0512325324e+01    9.9151219046e-01    9.9803921569e-01
        26   -1.0519833008e+01    3.6590552833e-01    1.0230645072e+03    1.0230000000e+03    3.3333333333e-01   -1.0517256613e+01    9.9185133479e-01    9.9902248289e-01
