#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0497578004e+01    1.1061802836e+02   -2.2033422128e+01    1.1535844124e+01   -7.2616926996e+00    6.4211686342e-01   -2.6381788520e+00   -1.2775667440e+01   -2.3865060888e+00    1.0237114440e+04    9.5251736500e-01    9.9461143695e-01
         1   -1.0505035837e+01    1.1073062598e+02   -2.1849941896e+01    1.1344906060e+01   -7.1328653732e+00    6.6626874338e-01   -2.6076778263e+00   -1.2775667440e+01   -2.3595015961e+00    1.0241815466e+04    9.4436943100e-01    9.9451005270e-01
         2   -1.0525326243e+01    1.1114065549e+02   -2.1870058499e+01    1.1344732256e+01   -7.0927996716e+00    6.3571433344e-01   -2.6373057210e+00   -1.2775667440e+01   -2.3945245265e+00    1.0209098826e+04    9.3959208600e-01    9.9489471107e-01
         3   -1.0538041222e+01    1.1141740715e+02   -2.1901294835e+01    1.1363253613e+01   -7.2132002813e+00    7.3758709254e-01   -2.6500142064e+00   -1.2775667440e+01   -2.4052789393e+00    1.0326211674e+04    9.6065791300e-01    9.9480679837e-01
         4   -1.0537367760e+01    1.1140791843e+02   -2.1883477362e+01    1.1346109602e+01   -7.1038671134e+00    6.6182320179e-01   -2.6657660100e+00   -1.2775667440e+01   -2.4220212440e+00    1.0351527801e+04    9.5314860600e-01    9.9486814142e-01
         5   -1.0510349040e+01    1.1082795659e+02   -2.1978365811e+01    1.1468016771e+01   -7.0659111940e+00    5.6404724663e-01   -2.7008344238e+00   -1.2775667440e+01   -2.4557638649e+00    1.0285282183e+04    9.5846145000e-01    9.9524931960e-01
         6   -1.0535562333e+01    1.1136908508e+02   -2.2024590414e+01    1.1489028081e+01   -7.2112452274e+00    6.2879551923e-01   -2.6664732657e+00   -1.2775667440e+01   -2.4200029937e+00    1.0289275348e+04    9.5363813600e-01    9.9478812324e-01
         7   -1.0526966323e+01    1.1119705135e+02   -2.1920391859e+01    1.1393425537e+01   -7.1565799402e+00    6.5907390797e-01   -2.6472183870e+00   -1.2775667440e+01   -2.4023217240e+00    1.0307282697e+04    9.5170723100e-01    9.9454307334e-01
         8   -1.0532014770e+01    1.1127347093e+02   -2.1859598767e+01    1.1327583997e+01   -7.0578047482e+00    6.7499071090e-01   -2.7011172896e+00   -1.2775667440e+01   -2.4679998453e+00    1.0271784010e+04    9.5422471100e-01    9.9498637072e-01
         9   -1.0537181357e+01    1.1139679455e+02   -2.1911751694e+01    1.1374570337e+01   -7.0338389289e+00    6.0775338710e-01   -2.7099987115e+00   -1.2775667440e+01   -2.4805326241e+00    1.0195048073e+04    9.4449336700e-01    9.9477633902e-01
        10   -1.0508162845e+01    1.1076955766e+02   -2.1974397627e+01    1.1466234782e+01   -7.1164806696e+00    6.0464644591e-01   -2.6868959630e+00   -1.2775667440e+01   -2.4478828213e+00    1.0103201299e+04    9.4381301200e-01    9.9433392716e-01
        11   -1.0504156732e+01    1.1070619722e+02   -2.2083921947e+01    1.1579765215e+01   -7.1933272061e+00    5.6685007194e-01   -2.6817773726e+00   -1.2775667440e+01   -2.4381494646e+00    1.0026092770e+04    9.2526735000e-01    9.9496309595e-01
        12   -1.0494599697e+01    1.1052391944e+02   -2.2011476506e+01    1.1516876808e+01   -7.0809622641e+00    5.5109205398e-01   -2.7059388554e+00   -1.2775667440e+01   -2.4662219670e+00    9.9862969131e+03    9.2418832700e-01    9.9513117052e-01
        13   -1.0511542892e+01    1.1088514686e+02   -2.1804359102e+01    1.1292816210e+01   -6.9133762727e+00    5.8395018412e-01   -2.6992655730e+00   -1.2775667440e+01   -2.4624307560e+00    9.9249189531e+03    9.1511888300e-01    9.9467147032e-01
        14   -1.0517407869e+01    1.1099092932e+02   -2.1826282044e+01    1.1308874174e+01   -7.0224126347e+00    6.7959212390e-01   -2.7077940924e+00   -1.2775667440e+01   -2.4717523530e+00    9.9574325525e+03    9.3398977800e-01    9.9475138122e-01
        15   -1.0515941247e+01    1.1098437974e+02   -2.2033436298e+01    1.1517495051e+01   -7.2020347655e+00    6.3865918555e-01   -2.6943932782e+00   -1.2775667440e+01   -2.4571696853e+00    9.9284342987e+03    9.2843010900e-01    9.9454714890e-01
        16   -1.0510636677e+01    1.1084784008e+02   -2.1886493980e+01    1.1375857303e+01   -7.0043577278e+00    5.5440448186e-01   -2.6608732943e+00   -1.2775667440e+01   -2.4132118518e+00    9.9150851726e+03    9.1674802000e-01    9.9518309291e-01
        17   -1.0528124081e+01    1.1123370218e+02   -2.1895779804e+01    1.1367655723e+01   -6.9888369684e+00    5.6731706010e-01   -2.6985924556e+00   -1.2775667440e+01   -2.4600434415e+00    9.9316889125e+03    9.1941221100e-01    9.9501410153e-01
        18   -1.0528288239e+01    1.1123134815e+02   -2.2042964149e+01    1.1514675910e+01   -7.0467161733e+00    4.9119704080e-01   -2.7117775760e+00   -1.2775667440e+01   -2.4734846365e+00    9.9010029119e+03    9.9029023000e-01    9.9478377286e-01
        19   -1.0560391190e+01    1.1194469077e+02   -2.2037760839e+01    1.1477369649e+01   -7.1275244346e+00    5.7924575952e-01   -2.7138147240e+00   -1.2775667440e+01   -2.4825017898e+00    9.9069201884e+03    9.4387973200e-01    9.9498737374e-01
        20   -1.0545319106e+01    1.1155665568e+02   -2.2153411907e+01    1.1608092801e+01   -7.2829384488e+00    6.1219431813e-01   -2.7070003361e+00   -1.2775667440e+01   -2.4708719357e+00    1.0032413761e+04    9.3955119500e-01    9.9457768249e-01
        21   -1.0543255699e+01    1.1154856093e+02   -2.2153140839e+01    1.1609885139e+01   -7.2198783694e+00    5.4272611073e-01   -2.7003211398e+00   -1.2775667440e+01   -2.4663661031e+00    1.0126090940e+04    9.4119164700e-01    9.9471500543e-01
        22   -1.0501954997e+01    1.1067718185e+02   -2.2184847562e+01    1.1682892565e+01   -7.3088028404e+00    5.6973339166e-01   -2.6701106728e+00   -1.2775667440e+01   -2.4313932307e+00    1.0176387265e+04    9.4566097300e-01    9.9464531342e-01
        23   -1.0499900311e+01    1.1060164821e+02   -2.2071664132e+01    1.1571763822e+01   -7.2123717492e+00    5.7447023194e-01   -2.6580951750e+00   -1.2775667440e+01   -2.4178802995e+00    1.0143358513e+04    9.4290813800e-01    9.9452932479e-01
        24   -1.0541554179e+01    1.1148725889e+02   -2.2055198920e+01    1.1513644741e+01   -7.1754768190e+00    5.4996266201e-01   -2.6540173231e+00   -1.2775667440e+01   -2.4109352059e+00    1.0157588521e+04    9.3975326000e-01    9.9457163959e-01
        25   -1.0527457965e+01    1.1119931125e+02   -2.2107117424e+01    1.1579659459e+01   -7.2579555696e+00    6.0672177567e-01   -2.6802161899e+00   -1.2775667440e+01   -2.4387012718e+00    1.0240463517e+04    9.5773818200e-01    9.9493408203e-01
        26   -1.0531713561e+01    1.1132671065e+02   -2.1981323390e+01    1.1449609830e+01   -7.2327656288e+00    6.5128910965e-01   -2.6241794310e+00   -1.2775667440e+01   -2.3849234363e+00    1.0216571351e+04    9.5583253700e-01    9.9494665231e-01
        27   -1.0530104939e+01    1.1127927674e+02   -2.1904512246e+01    1.1374407307e+01   -7.1373784958e+00    6.5696171597e-01   -2.6484280262e+00   -1.2775667440e+01   -2.4093629453e+00    1.0216090250e+04    9.5032317700e-01    9.9516642193e-01
        28   -1.0511701127e+01    1.1086511931e+02   -2.1874779852e+01    1.1363078725e+01   -7.0739889657e+00    6.0850706313e-01   -2.6336305094e+00   -1.2775667440e+01   -2.3990223227e+00    1.0259603853e+04    9.5653499100e-01    9.9505408830e-01
        29   -1.0538952263e+01    1.1141102243e+02   -2.1974085849e+01    1.1435133586e+01   -7.1302909583e+00    6.2510432661e-01   -2.6932317772e+00   -1.2775667440e+01   -2.4612102322e+00    1.0345246902e+04    9.6489767600e-01    9.9528757854e-01
        30   -1.0552686758e+01    1.1170582824e+02   -2.2104754439e+01    1.1552067681e+01   -7.2687071439e+00    6.6439597191e-01   -2.7247758269e+00   -1.2775667440e+01   -2.4945404373e+00    1.0365674421e+04    9.6085233200e-01    9.9466904670e-01
        31   -1.0540199901e+01    1.1144261883e+02   -2.2155097940e+01    1.1614898039e+01   -7.3219317142e+00    6.4999907487e-01   -2.7074978600e+00   -1.2775667440e+01   -2.4752893861e+00    1.0348430958e+04    9.6007225000e-01    9.9502319289e-01
        32   -1.0525785224e+01    1.1113517726e+02   -2.2074188937e+01    1.1548403713e+01   -7.2693614511e+00    6.4823064638e-01   -2.6773906916e+00   -1.2775667440e+01   -2.4434812929e+00    1.0394700520e+04    9.6593979200e-01    9.9514236245e-01
        33   -1.0523933483e+01    1.1119664908e+02   -2.2097100615e+01    1.1573167133e+01   -7.3810797997e+00    7.0797016081e-01   -2.6483235364e+00   -1.2775667440e+01   -2.4143671054e+00    1.0459457483e+04    9.6901668500e-01    9.9475482699e-01
        34   -1.0513423436e+01    1.1088947951e+02   -2.2238823050e+01    1.1725399614e+01   -7.4360709372e+00    6.4340947595e-01   -2.6704941486e+00   -1.2775667440e+01   -2.4303474050e+00    1.0402123718e+04    9.7149671300e-01    9.9456991831e-01
        35   -1.0521142047e+01    1.1107727209e+02   -2.2329618681e+01    1.1808476635e+01   -7.5436137857e+00    6.6846465912e-01   -2.6788021145e+00   -1.2775667440e+01   -2.4442635980e+00    1.0357221845e+04    9.7046213200e-01    9.9456993918e-01
        36   -1.0517943212e+01    1.1098990110e+02   -2.2181156988e+01    1.1663213775e+01   -7.3858587778e+00    6.6372376742e-01   -2.6833545373e+00   -1.2775667440e+01   -2.4461565990e+00    1.0396870138e+04    9.6641156100e-01    9.9466294836e-01
        37   -1.0493915903e+01    1.1049058552e+02   -2.1990917592e+01    1.1497001689e+01   -7.1819982963e+00    6.4283196293e-01   -2.6760838189e+00   -1.2775667440e+01   -2.4316215614e+00    1.0444812867e+04    9.7305695400e-01    9.9468899522e-01
        38   -1.0510483095e+01    1.1094266232e+02   -2.2045606861e+01    1.1535123766e+01   -7.1501123574e+00    5.9145515544e-01   -2.7112822189e+00   -1.2775667440e+01   -2.4663853641e+00    1.0439382842e+04    9.7143158900e-01    9.9456573781e-01
        39   -1.0497974715e+01    1.1063251755e+02   -2.2107519416e+01    1.1609544701e+01   -7.2833325641e+00    5.9032592978e-01   -2.6388453413e+00   -1.2775667440e+01   -2.3920109953e+00    1.0347244563e+04    9.6269208500e-01    9.9477103661e-01
        40   -1.0515599078e+01    1.1093441684e+02   -2.1966602180e+01    1.1451003102e+01   -7.1286580103e+00    6.2607572896e-01   -2.6883524585e+00   -1.2775667440e+01   -2.4431043495e+00    1.0248965112e+04    9.4941303200e-01    9.9541463415e-01
        41   -1.0512930037e+01    1.1090450281e+02   -2.2101209023e+01    1.1588278986e+01   -7.2943855998e+00    6.1971112519e-01   -2.6508671082e+00   -1.2775667440e+01   -2.4149533547e+00    1.0248917905e+04    9.4876599000e-01    9.9489024390e-01
        42   -1.0523010414e+01    1.1114958100e+02   -2.2092231898e+01    1.1569221483e+01   -7.2461598308e+00    5.8619659856e-01   -2.6566012252e+00   -1.2775667440e+01   -2.4204722281e+00    1.0260697052e+04    9.5023874400e-01    9.9494444986e-01
        43   -1.0538492353e+01    1.1144767671e+02   -2.2103244381e+01    1.1564752028e+01   -7.2158060038e+00    5.9286772451e-01   -2.7046386616e+00   -1.2775667440e+01   -2.4630680777e+00    1.0211691969e+04    9.3815321100e-01    9.9494368266e-01
        44   -1.0538183251e+01    1.1160633828e+02   -2.2082353381e+01    1.1544170130e+01   -7.1547606924e+00    5.6855899228e-01   -2.7204842410e+00   -1.2775667440e+01   -2.4770496826e+00    1.0214578815e+04    9.3854604200e-01    9.9526338980e-01
        45   -1.0526845022e+01    1.1123401158e+02   -2.2112112487e+01    1.1585267465e+01   -7.2111761682e+00    5.7004528684e-01   -2.6953141655e+00   -1.2775667440e+01   -2.4480355338e+00    1.0214661170e+04    9.5067936900e-01    9.9441942432e-01
        46   -1.0539988246e+01    1.1147340711e+02   -2.2034974870e+01    1.1494986624e+01   -7.1586955302e+00    5.7868764252e-01   -2.6792995419e+00   -1.2775667440e+01   -2.4305170937e+00    1.0203990720e+04    9.4226071900e-01    9.9443736522e-01
        47   -1.0529254227e+01    1.1124011162e+02   -2.1964341520e+01    1.1435087293e+01   -7.1006248899e+00    6.2352595770e-01   -2.7115751471e+00   -1.2775667440e+01   -2.4701840319e+00    1.0260373972e+04    9.4061932500e-01    9.9516325536e-01
        48   -1.0522095458e+01    1.1115040490e+02   -2.2121991595e+01    1.1599896136e+01   -7.3052937727e+00    6.3707244277e-01   -2.6781028243e+00   -1.2775667440e+01   -2.4354309637e+00    1.0205022727e+04    9.4256460100e-01    9.9467172954e-01
        49   -1.0521471402e+01    1.1107947886e+02   -2.2250656718e+01    1.1729185316e+01   -7.4709900792e+00    6.5407809666e-01   -2.6580772952e+00   -1.2775667440e+01   -2.4109068014e+00    1.0198188071e+04    9.4008114200e-01    9.9479064522e-01
        50   -1.0526890020e+01    1.1118231377e+02   -2.2057035796e+01    1.1530145777e+01   -7.2553017039e+00    6.4146189511e-01   -2.6675285472e+00   -1.2775667440e+01   -2.4225066243e+00    1.0174890756e+04    9.3141953900e-01    9.9461863574e-01
        51   -1.0534842088e+01    1.1138353111e+02   -2.2083194000e+01    1.1548351912e+01   -7.2585989322e+00    6.6096956541e-01   -2.7098971930e+00   -1.2775667440e+01   -2.4683530536e+00    1.0198383667e+04    9.4203416000e-01    9.9382171227e-01
        52   -1.0544495323e+01    1.1157564684e+02   -2.2155125822e+01    1.1610630499e+01   -7.3279760132e+00    6.3953303532e-01   -2.6910154041e+00   -1.2775667440e+01   -2.4518044377e+00    1.0219302397e+04    9.3976898900e-01    9.9472692571e-01
        53   -1.0519803654e+01    1.1106068226e+02   -2.2210553721e+01    1.1690750067e+01   -7.3200554212e+00    5.8276560652e-01   -2.6975964664e+00   -1.2775667440e+01   -2.4627610623e+00    1.0128491196e+04    9.3638710800e-01    9.9507553318e-01
        54   -1.0523083151e+01    1.1115372119e+02   -2.2083168497e+01    1.1560085347e+01   -7.2867029281e+00    6.4788332219e-01   -2.6686814512e+00   -1.2775667440e+01   -2.4310249607e+00    1.0108912447e+04    9.3237328500e-01    9.9471952909e-01
        55   -1.0525794336e+01    1.1116297286e+02   -2.2020620145e+01    1.1494825809e+01   -7.2330685768e+00    6.6931078911e-01   -2.6811949167e+00   -1.2775667440e+01   -2.4470721258e+00    1.0147753865e+04    9.3857967900e-01    9.9499852173e-01
        56   -1.0535176691e+01    1.1135633623e+02   -2.1998973755e+01    1.1463797063e+01   -7.1849907533e+00    6.5039940901e-01   -2.6887149702e+00   -1.2775667440e+01   -2.4587759863e+00    1.0135135226e+04    9.4210806800e-01    9.9451051021e-01
        57   -1.0530386139e+01    1.1125865629e+02   -2.1952423106e+01    1.1422036968e+01   -7.1538147378e+00    6.2666588465e-01   -2.6496068130e+00   -1.2775667440e+01   -2.4169011777e+00    1.0165250397e+04    9.6531228300e-01    9.9489620228e-01
        58   -1.0532754388e+01    1.1130742119e+02   -2.2124791637e+01    1.1592037250e+01   -7.3349552083e+00    6.2315202608e-01   -2.6373210150e+00   -1.2775667440e+01   -2.3975051800e+00    1.0203277324e+04    1.0754700200e+00    9.9440060772e-01
