#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0487069946e+01    1.1033770058e+02   -2.2025655428e+01    1.1538585482e+01   -6.9658820674e+00    5.5888742339e-01   -2.8429933442e+00   -1.2775667440e+01    6.0000000000e+01    1.7060721667e-03    7.6597222222e-01
         1   -1.0565309425e+01    1.1191178458e+02   -2.1785303907e+01    1.1219994482e+01   -6.7472392554e+00    5.9153484155e-01   -2.8539320530e+00   -1.2775667440e+01    6.0000000000e+01    1.6679194167e-03    7.6805555556e-01
         2   -1.0458283830e+01    1.0960223494e+02   -2.2113407734e+01    1.1655123903e+01   -7.3645287152e+00    4.7557456506e-01   -2.4487861433e+00   -1.2775667440e+01    6.0000000000e+01    1.6639597500e-03    7.8333333333e-01
         3   -1.0465474732e+01    1.0984280674e+02   -2.1762684931e+01    1.1297210199e+01   -6.6886071704e+00    4.5122904736e-01   -2.7496393675e+00   -1.2775667440e+01    6.0000000000e+01    1.6749721667e-03    7.6111111111e-01
         4   -1.0497518836e+01    1.1112089384e+02   -2.1877158131e+01    1.1379639295e+01   -6.4362503344e+00    2.9819844884e-01   -2.9634388048e+00   -1.2775667440e+01    6.0000000000e+01    1.6528912500e-03    7.7430555556e-01
         5   -1.0455046818e+01    1.0969977364e+02   -2.2257705858e+01    1.1802659040e+01   -7.4671902591e+00    5.9437757574e-01   -2.6092257342e+00   -1.2775667440e+01    6.0000000000e+01    1.6546663333e-03    7.6805555556e-01
         6   -1.0449461153e+01    1.0951486979e+02   -2.2361370820e+01    1.1911909667e+01   -7.7739263314e+00    6.9260275732e-01   -2.5043798055e+00   -1.2775667440e+01    6.0000000000e+01    1.6797635833e-03    7.5833333333e-01
         7   -1.0635505468e+01    1.1363744782e+02   -2.2632184832e+01    1.1996679364e+01   -8.3320325742e+00    8.1389203736e-01   -2.3383768546e+00   -1.2775667440e+01    6.0000000000e+01    1.6564177500e-03    7.4861111111e-01
         8   -1.0505992940e+01    1.1064781774e+02   -2.1506891677e+01    1.1000898737e+01   -6.9567928635e+00    1.0456965286e+00   -2.8201279023e+00   -1.2775667440e+01    6.0000000000e+01    1.6532860833e-03    7.6805555556e-01
         9   -1.0583745770e+01    1.1228221711e+02   -2.2513679465e+01    1.1929933695e+01   -7.7150560500e+00    5.9389179882e-01   -2.6168477732e+00   -1.2775667440e+01    6.0000000000e+01    1.7421497500e-03    7.5833333333e-01
        10   -1.0588321342e+01    1.1234871439e+02   -2.2550802254e+01    1.1962480911e+01   -7.8787485079e+00    6.8126092365e-01   -2.5776472291e+00   -1.2775667440e+01    6.0000000000e+01    1.6975614167e-03    7.4375000000e-01
        11   -1.0538348433e+01    1.1169004549e+02   -2.2359454528e+01    1.1821106095e+01   -7.7208065188e+00    9.3331818083e-01   -2.7962987493e+00   -1.2775667440e+01    6.0000000000e+01    1.7123846667e-03    7.5972222222e-01
        12   -1.0416040322e+01    1.0889791989e+02   -2.2075022582e+01    1.1658982259e+01   -7.6073313980e+00    8.5162884995e-01   -2.5436525935e+00   -1.2775667440e+01    6.0000000000e+01    1.7182498333e-03    7.4791666667e-01
        13   -1.0474683107e+01    1.1000310312e+02   -2.1027127872e+01    1.0552444766e+01   -5.9207833327e+00    4.6115377175e-01   -2.7918308713e+00   -1.2775667440e+01    6.0000000000e+01    1.7105070000e-03    7.7500000000e-01
        14   -1.0574598016e+01    1.1223424344e+02   -2.1774629466e+01    1.1200031450e+01   -6.5008044254e+00    3.9064756888e-01   -2.8888051691e+00   -1.2775667440e+01    6.0000000000e+01    1.7542150833e-03    7.7361111111e-01
        15   -1.0489226390e+01    1.1040393820e+02   -2.1849165045e+01    1.1359938655e+01   -6.8274531416e+00    5.9957198522e-01   -2.8456164483e+00   -1.2775667440e+01    6.0000000000e+01    1.7240102500e-03    7.7777777778e-01
        16   -1.0464720091e+01    1.0980420079e+02   -2.1746912249e+01    1.1282192158e+01   -6.9349063839e+00    4.0901975895e-01   -2.4453581840e+00   -1.2775667440e+01    6.0000000000e+01    1.7219240000e-03    7.6319444444e-01
        17   -1.0502438641e+01    1.1061161243e+02   -2.1640689593e+01    1.1138250952e+01   -7.0489301685e+00    9.1608696615e-01   -2.7321789504e+00   -1.2775667440e+01    6.0000000000e+01    1.7198614167e-03    7.6944444444e-01
        18   -1.0463584611e+01    1.0979958030e+02   -2.3469516126e+01    1.3005931515e+01   -9.0222251741e+00    7.3268628096e-01   -2.4043097928e+00   -1.2775667440e+01    6.0000000000e+01    1.7214128333e-03    7.4097222222e-01
        19   -1.0549161691e+01    1.1161598500e+02   -2.2152484226e+01    1.1603322535e+01   -7.2564746570e+00    5.2810519084e-01   -2.6484473195e+00   -1.2775667440e+01    6.0000000000e+01    1.7386262500e-03    7.6458333333e-01
        20   -1.0325025009e+01    1.0697882183e+02   -2.1758965620e+01    1.1433940611e+01   -7.4758085471e+00    6.6001239246e-01   -2.1675020251e+00   -1.2775667440e+01    6.0000000000e+01    1.7140620833e-03    7.6319444444e-01
        21   -1.0421473802e+01    1.0892562495e+02   -2.3409013838e+01    1.2987540036e+01   -8.4567992069e+00    4.5385305127e-01   -2.6304002423e+00   -1.2775667440e+01    6.0000000000e+01    1.6847038333e-03    7.4444444444e-01
        22   -1.0486116052e+01    1.1030112300e+02   -2.2281965703e+01    1.1795849651e+01   -7.8208994600e+00    8.4802022224e-01   -2.5334190248e+00   -1.2775667440e+01    6.0000000000e+01    1.7164390833e-03    7.4375000000e-01
        23   -1.0478402853e+01    1.1033035729e+02   -2.2085344109e+01    1.1606941256e+01   -7.4688309840e+00    7.7549950862e-01   -2.6163451936e+00   -1.2775667440e+01    6.0000000000e+01    1.7251538333e-03    7.4791666667e-01
        24   -1.0614256033e+01    1.1305335982e+02   -2.1390193551e+01    1.0775937517e+01   -7.4237564167e+00    1.1796231627e+00   -2.3703928567e+00   -1.2775667440e+01    6.0000000000e+01    1.7230753333e-03    7.7361111111e-01
        25   -1.0489526460e+01    1.1031478509e+02   -2.0972116216e+01    1.0482589757e+01   -5.7831089416e+00    4.2076020191e-01   -2.8341000363e+00   -1.2775667440e+01    6.0000000000e+01    1.7033485000e-03    7.7430555556e-01
        26   -1.0358790380e+01    1.0808002103e+02   -2.1747758126e+01    1.1388967746e+01   -6.8494918558e+00    3.9483106610e-01   -2.5174298963e+00   -1.2775667440e+01    6.0000000000e+01    1.7013650833e-03    7.6875000000e-01
        27   -1.0443165283e+01    1.0939396634e+02   -2.1222253277e+01    1.0779087994e+01   -6.0476785455e+00    6.1900173054e-01   -3.0179090217e+00   -1.2775667440e+01    6.0000000000e+01    1.7024428333e-03    7.6319444444e-01
        28   -1.0404300370e+01    1.0853182193e+02   -2.2463381619e+01    1.2059081249e+01   -7.7970144288e+00    8.0500330964e-01   -2.6957030600e+00   -1.2775667440e+01    6.0000000000e+01    1.7086750000e-03    7.5416666667e-01
        29   -1.0586204019e+01    1.1233948656e+02   -2.1984205902e+01    1.1398001882e+01   -7.0785427761e+00    7.2999854798e-01   -2.8599942335e+00   -1.2775667440e+01    6.0000000000e+01    1.7048383333e-03    7.5833333333e-01
        30   -1.0558326523e+01    1.1181696320e+02   -2.1814997419e+01    1.1256670895e+01   -6.7372947355e+00    4.2346277846e-01   -2.7254980214e+00   -1.2775667440e+01    6.0000000000e+01    1.7084034167e-03    7.4722222222e-01
        31   -1.0357888780e+01    1.0797812990e+02   -2.0671484658e+01    1.0313595877e+01   -5.7536388017e+00    5.1439364055e-01   -2.6565720563e+00   -1.2775667440e+01    6.0000000000e+01    1.6925038333e-03    7.7777777778e-01
        32   -1.0520909838e+01    1.1118501856e+02   -2.2241562653e+01    1.1720652816e+01   -7.6097264999e+00    9.0992902184e-01   -2.7660977352e+00   -1.2775667440e+01    6.0000000000e+01    1.7080885000e-03    7.4166666667e-01
        33   -1.0521550845e+01    1.1123196122e+02   -2.1865975070e+01    1.1344424225e+01   -7.5643485400e+00    1.0449242239e+00   -2.5708833138e+00   -1.2775667440e+01    6.0000000000e+01    1.7105796667e-03    7.5069444444e-01
        34   -1.0537385352e+01    1.1134224447e+02   -2.2230960589e+01    1.1693575237e+01   -7.5215543439e+00    6.4844432249e-01   -2.5821831278e+00   -1.2775667440e+01    6.0000000000e+01    1.7517807500e-03    7.5208333333e-01
        35   -1.0568717595e+01    1.1202616701e+02   -2.1988057940e+01    1.1419340345e+01   -6.9631211089e+00    7.5445022318e-01   -3.0037196143e+00   -1.2775667440e+01    6.0000000000e+01    1.7759615833e-03    7.6597222222e-01
        36   -1.0478977242e+01    1.1022369008e+02   -2.2230752292e+01    1.1751775050e+01   -7.4097830614e+00    5.1964601815e-01   -2.5649478088e+00   -1.2775667440e+01    6.0000000000e+01    1.7307295833e-03    7.6180555556e-01
        37   -1.0542712673e+01    1.1167574139e+02   -2.2088631912e+01    1.1545919239e+01   -7.3859627719e+00    6.8474287080e-01   -2.6117445704e+00   -1.2775667440e+01    6.0000000000e+01    1.7229859167e-03    7.6388888889e-01
        38   -1.0609847966e+01    1.1285772524e+02   -2.2421857606e+01    1.1812009640e+01   -7.6754310968e+00    7.5008305739e-01   -2.7208421259e+00   -1.2775667440e+01    6.0000000000e+01    1.7031310000e-03    7.5486111111e-01
        39   -1.0476929037e+01    1.0998745326e+02   -2.1509107982e+01    1.1032178944e+01   -6.7320483452e+00    5.8268070986e-01   -2.5840729064e+00   -1.2775667440e+01    6.0000000000e+01    1.7222348333e-03    7.5347222222e-01
        40   -1.0389150727e+01    1.0828676596e+02   -2.1721217866e+01    1.1332067139e+01   -7.2566036658e+00    5.0631686900e-01   -2.1952636288e+00   -1.2775667440e+01    6.0000000000e+01    1.7538080000e-03    7.5833333333e-01
