# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.0515171959e+01    3.0086053932e-01    1.0260000000e+03    1.0240000000e+03    0.0000000000e+00   -1.0514653585e+01    9.9039353192e-01    9.9804687500e-01
         1   -1.0513858474e+01    3.2392961446e-01    1.0222877085e+03    1.0240000000e+03    3.3333333333e-01   -1.0710293972e+01    9.9217024145e-01    9.8925781250e-01
         2   -1.0523392017e+01    4.0053393592e-01    1.0240355487e+03    1.0200000000e+03    6.6666666667e-01   -1.0122468542e+01    9.9172291628e-01    1.0000000000e+00
         3   -1.0535218777e+01    4.2486512352e-01    1.0240589505e+03    1.0250000000e+03    6.6666666667e-01   -1.0621000614e+01    9.9063217686e-01    9.9804878049e-01
         4   -1.0552839570e+01    4.4736461245e-01    1.0241250520e+03    1.0280000000e+03    3.3333333333e-01   -1.0925082819e+01    9.9224680626e-01    9.9416342412e-01
         5   -1.0536302108e+01    4.6343395422e-01    1.0239329090e+03    1.0240000000e+03    6.6666666667e-01   -1.0552839570e+01    9.9006427085e-01    9.9804687500e-01
         6   -1.0519399993e+01    4.1969004546e-01    1.0238780409e+03    1.0220000000e+03    3.3333333333e-01   -1.0340798624e+01    9.9111838808e-01    9.9902152642e-01
         7   -1.0527995004e+01    3.8043849351e-01    1.0240638290e+03    1.0260000000e+03    3.3333333333e-01   -1.0714522006e+01    9.9331585930e-01    9.9707602339e-01
         8   -1.0526891064e+01    4.2168818030e-01    1.0240231271e+03    1.0260000000e+03    3.3333333333e-01   -1.0723117017e+01    9.8908880185e-01    9.9805068226e-01
         9   -1.0517887864e+01    3.9742719941e-01    1.0239738830e+03    1.0260000000e+03    3.3333333333e-01   -1.0722013077e+01    9.8768686430e-01    9.9805068226e-01
        10   -1.0537156964e+01    4.1336212865e-01    1.0241535268e+03    1.0290000000e+03    0.0000000000e+00   -1.1004980887e+01    9.9043961016e-01    9.9514091351e-01
        11   -1.0541814783e+01    4.5076104771e-01    1.0240191391e+03    1.0240000000e+03    6.6666666667e-01   -1.0537156964e+01    9.9510514782e-01    9.9804687500e-01
        12   -1.0543208502e+01    4.1542733699e-01    1.0239882508e+03    1.0230000000e+03    3.3333333333e-01   -1.0444110818e+01    9.9272299775e-01    1.0000000000e+00
        13   -1.0536209936e+01    3.7971332653e-01    1.0239618190e+03    1.0250000000e+03    3.3333333333e-01   -1.0640817100e+01    9.8989303328e-01    1.0000000000e+00
        14   -1.0538846071e+01    3.9093226391e-01    1.0240453756e+03    1.0280000000e+03    6.6666666667e-01   -1.0926073978e+01    9.9097230241e-01    9.9610894942e-01
        15   -1.0536812453e+01    3.6631096824e-01    1.0239945979e+03    1.0250000000e+03    0.0000000000e+00   -1.0636454668e+01    9.9233865930e-01    9.9902439024e-01
        16   -1.0514925867e+01    3.8776293463e-01    1.0239120107e+03    1.0270000000e+03    3.3333333333e-01   -1.0829352886e+01    9.9044843819e-01    9.9123661149e-01
        17   -1.0539017561e+01    3.6880240365e-01    1.0240874779e+03    1.0190000000e+03    0.0000000000e+00   -1.0025448629e+01    9.8843352535e-01    9.9901864573e-01
        18   -1.0506594498e+01    3.4383181503e-01    1.0238436158e+03    1.0240000000e+03    0.0000000000e+00   -1.0539017561e+01    9.9426445689e-01    1.0000000000e+00
