#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0404992212e+01    1.0984934511e+02   -2.2274668683e+01    1.1869676471e+01   -7.7580928373e+00    6.0071877694e-01   -2.3416271828e+00   -1.2775667440e+01    2.6400000000e+02    1.9486802000e-02    5.4086174242e-01
         1   -1.0180155540e+01    1.0551819348e+02   -2.1275369829e+01    1.1095214289e+01   -6.8413294654e+00    5.6831717576e-01   -2.2266900993e+00   -1.2775667440e+01    2.6400000000e+02    2.0198337000e-02    5.3731060606e-01
         2   -1.0217209493e+01    1.0662279016e+02   -2.1596619358e+01    1.1379409866e+01   -7.2541681872e+00    6.8510186307e-01   -2.2518855941e+00   -1.2775667440e+01    2.6400000000e+02    2.0282856000e-02    5.4071969697e-01
         3   -1.0251152313e+01    1.0653555688e+02   -2.2001264679e+01    1.1750112366e+01   -7.2987133770e+00    3.8313862308e-01   -2.3100224846e+00   -1.2775667440e+01    2.6400000000e+02    2.0093226000e-02    5.4251893939e-01
         4   -1.0188139222e+01    1.0532143998e+02   -2.1342554071e+01    1.1154414849e+01   -7.0484213092e+00    7.3037559378e-01   -2.2488409153e+00   -1.2775667440e+01    2.6400000000e+02    1.9525338000e-02    5.4375000000e-01
         5   -1.0054433266e+01    1.0359590773e+02   -2.1570133482e+01    1.1515700216e+01   -7.0114672870e+00    3.3800478886e-01   -2.1210035434e+00   -1.2775667440e+01    2.6400000000e+02    1.9470127000e-02    5.4706439394e-01
         6   -1.0265965773e+01    1.0693331782e+02   -2.1655384458e+01    1.1389418685e+01   -7.3240307818e+00    6.9061791641e-01   -2.2463041524e+00   -1.2775667440e+01    2.6400000000e+02    2.0069582000e-02    5.4427083333e-01
         7   -1.0233224440e+01    1.0664338432e+02   -2.1733363155e+01    1.1500138714e+01   -7.2840252728e+00    5.2758623953e-01   -2.2012566813e+00   -1.2775667440e+01    2.6400000000e+02    1.9979569000e-02    5.4535984848e-01
         8   -1.0278780213e+01    1.0749871289e+02   -2.1773537926e+01    1.1494757712e+01   -7.5903069399e+00    8.3115708236e-01   -2.2387206279e+00   -1.2775667440e+01    2.6400000000e+02    1.9882800000e-02    5.4498106061e-01
         9   -1.0077494312e+01    1.0370537579e+02   -2.1858644420e+01    1.1781150109e+01   -7.3285820192e+00    3.6187610466e-01   -2.1162710656e+00   -1.2775667440e+01    2.6400000000e+02    1.9667295000e-02    5.4446022727e-01
        10   -1.0315584981e+01    1.0790961646e+02   -2.2048132114e+01    1.1732547133e+01   -7.5505440281e+00    6.0806928087e-01   -2.3299899266e+00   -1.2775667440e+01    2.6400000000e+02    1.9917949000e-02    5.3626893939e-01
        11   -1.0264845723e+01    1.0743745877e+02   -2.1600068257e+01    1.1335222534e+01   -7.1102742400e+00    6.0215644871e-01   -2.3162830255e+00   -1.2775667440e+01    2.6400000000e+02    2.0209957000e-02    5.4048295455e-01
        12   -1.0261347907e+01    1.0670240973e+02   -2.1908720387e+01    1.1647372479e+01   -7.3078608579e+00    4.5624917286e-01   -2.2814412614e+00   -1.2775667440e+01    2.6400000000e+02    2.0216543000e-02    5.5596590909e-01
        13   -1.0285430336e+01    1.0732285309e+02   -2.1751131020e+01    1.1465700684e+01   -7.3038163449e+00    6.7630878127e-01   -2.3479560158e+00   -1.2775667440e+01    2.6400000000e+02    2.0952236000e-02    5.3967803030e-01
        14   -1.0262325703e+01    1.0717676024e+02   -2.1903615244e+01    1.1641289541e+01   -7.5387580807e+00    6.1087489186e-01   -2.2000646148e+00   -1.2775667440e+01    2.6400000000e+02    2.0760409000e-02    5.4687500000e-01
