#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0195630938e+01    1.0608311356e+02   -2.1463768931e+01    1.1268137992e+01   -6.9789251536e+00    5.1488143845e-01   -2.2240577755e+00   -1.2775667440e+01    5.1600000000e+02    1.8859578167e-02    5.4765019380e-01
         1   -1.0293815198e+01    1.0761480580e+02   -2.1649269952e+01    1.1355454753e+01   -7.2271701532e+00    6.6577088162e-01   -2.3122032398e+00   -1.2775667440e+01    5.1600000000e+02    2.1884569917e-02    5.4411337209e-01
         2   -1.0264326065e+01    1.0720633735e+02   -2.1520065677e+01    1.1255739612e+01   -7.0331627832e+00    5.5033006003e-01   -2.2615655133e+00   -1.2775667440e+01    5.1600000000e+02    2.2721562917e-02    5.4382267442e-01
         3   -1.0209182663e+01    1.0615144918e+02   -2.1256661587e+01    1.1047478924e+01   -6.9531659835e+00    7.1247710206e-01   -2.2403052650e+00   -1.2775667440e+01    5.1600000000e+02    2.1536277417e-02    5.4508236434e-01
         4   -1.0260817158e+01    1.0693877682e+02   -2.1387963672e+01    1.1127146515e+01   -6.9400092917e+00    6.5160103393e-01   -2.3238879745e+00   -1.2775667440e+01    5.1600000000e+02    2.3912629500e-02    5.4563953488e-01
         5   -1.0189087188e+01    1.0576995403e+02   -2.1596874993e+01    1.1407787805e+01   -7.4775934362e+00    7.4688667283e-01   -2.0905007894e+00   -1.2775667440e+01    5.1600000000e+02    2.2159853500e-02    5.3459302326e-01
         6   -1.0319303344e+01    1.0798193611e+02   -2.1464017890e+01    1.1144714546e+01   -7.0137583059e+00    6.3294683659e-01   -2.3075389802e+00   -1.2775667440e+01    5.1600000000e+02    1.9829435250e-02    5.4648740310e-01
         7   -1.0256316669e+01    1.0716248118e+02   -2.1746391568e+01    1.1490074900e+01   -7.3437828204e+00    5.9342857474e-01   -2.2203698825e+00   -1.2775667440e+01    5.1600000000e+02    1.9695897250e-02    5.4312015504e-01
         8   -1.0313768158e+01    1.0782426516e+02   -2.1839904114e+01    1.1526135956e+01   -7.3575298589e+00    6.0297117025e-01   -2.3096779854e+00   -1.2775667440e+01    5.1600000000e+02    1.9851638167e-02    5.4425872093e-01
         9   -1.0371276003e+01    1.0889989268e+02   -2.1947393552e+01    1.1576117548e+01   -7.5208527610e+00    7.1468769823e-01   -2.3655610487e+00   -1.2775667440e+01    5.1600000000e+02    1.9748764833e-02    5.4232073643e-01
        10   -1.0234857549e+01    1.0642232621e+02   -2.1484478229e+01    1.1249620680e+01   -6.9278671112e+00    4.9913926224e-01   -2.2800829401e+00   -1.2775667440e+01    5.1600000000e+02    2.1320794333e-02    5.4784399225e-01
        11   -1.0176153476e+01    1.0566044535e+02   -2.1860480309e+01    1.1684326833e+01   -7.5480306019e+00    6.5840664167e-01   -2.1951889084e+00   -1.2775667440e+01    5.1600000000e+02    2.3870058417e-02    5.3611918605e-01
        12   -1.0228075839e+01    1.0650420382e+02   -2.1622598861e+01    1.1394523022e+01   -7.2203032416e+00    6.2712126517e-01   -2.2537494440e+00   -1.2775667440e+01    5.1600000000e+02    2.3321011583e-02    5.4629360465e-01
        13   -1.0274548784e+01    1.0729783802e+02   -2.1780526411e+01    1.1505977627e+01   -7.4259558731e+00    6.4189210896e-01   -2.2207952068e+00   -1.2775667440e+01    5.1600000000e+02    2.3994177750e-02    5.4469476744e-01
        14   -1.0227277726e+01    1.0667194750e+02   -2.1640589484e+01    1.1413311758e+01   -7.0954300672e+00    4.8610689268e-01   -2.2555988691e+00   -1.2775667440e+01    5.1600000000e+02    2.3782254333e-02    5.4849806202e-01
        15   -1.0343203709e+01    1.0841889253e+02   -2.1805043863e+01    1.1461840154e+01   -7.4127866711e+00    6.7851048291e-01   -2.2951002346e+00   -1.2775667440e+01    5.1600000000e+02    2.4222175417e-02    5.4093992248e-01
        16   -1.0301854969e+01    1.0766769618e+02   -2.1868282497e+01    1.1566427528e+01   -7.4199882669e+00    6.1802939463e-01   -2.2906561844e+00   -1.2775667440e+01    5.1600000000e+02    2.3880050333e-02    5.4375000000e-01
        17   -1.0211767962e+01    1.0641915380e+02   -2.1621946369e+01    1.1410178407e+01   -7.3086772511e+00    6.6802726679e-01   -2.2056289447e+00   -1.2775667440e+01    5.1600000000e+02    2.4520788583e-02    5.4241763566e-01
        18   -1.0379437085e+01    1.0935790709e+02   -2.1909682113e+01    1.1530245027e+01   -7.4420958828e+00    6.7046692051e-01   -2.3623857100e+00   -1.2775667440e+01    5.1600000000e+02    2.4192647417e-02    5.3897771318e-01
        19   -1.0303181753e+01    1.0785499132e+02   -2.2086889603e+01    1.1783707850e+01   -7.6154981249e+00    5.7517386572e-01   -2.2708979033e+00   -1.2775667440e+01    5.1600000000e+02    2.4816444333e-02    5.4314437984e-01
        20   -1.0236090794e+01    1.0647094275e+02   -2.1557696402e+01    1.1321605608e+01   -7.1145438305e+00    6.0037016251e-01   -2.2678552938e+00   -1.2775667440e+01    5.1600000000e+02    2.4290916417e-02    5.4624515504e-01
