#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0477945005e+01    1.1019471929e+02   -2.1599259899e+01    1.1121314893e+01   -6.7923503281e+00    6.3481763972e-01   -2.6660597699e+00   -1.2775667440e+01    2.6400000000e+02    2.1144606000e-02    5.3148674242e-01
         1   -1.0522269236e+01    1.1107849117e+02   -2.2505196008e+01    1.1982926772e+01   -7.5308384289e+00    4.9692283603e-01   -2.6956129749e+00   -1.2775667440e+01    2.6400000000e+02    2.0961489000e-02    5.3636363636e-01
         2   -1.0462491080e+01    1.0978317308e+02   -2.2080197057e+01    1.1617705977e+01   -7.3077113204e+00    6.9148532895e-01   -2.6883036255e+00   -1.2775667440e+01    2.6400000000e+02    2.1030312000e-02    5.3626893939e-01
         3   -1.0514571153e+01    1.1088082850e+02   -2.1834449835e+01    1.1319878682e+01   -7.2444002540e+00    7.0425822853e-01   -2.5186403690e+00   -1.2775667440e+01    2.6400000000e+02    2.1048809000e-02    5.3536931818e-01
         4   -1.0413159311e+01    1.0882737088e+02   -2.2096029153e+01    1.1682869842e+01   -7.3790725086e+00    5.3213585052e-01   -2.4734250543e+00   -1.2775667440e+01    2.6400000000e+02    2.0953839000e-02    5.3428030303e-01
         5   -1.0536637716e+01    1.1132047232e+02   -2.1753276135e+01    1.1216638419e+01   -6.8199728044e+00    5.0666863471e-01   -2.6643045254e+00   -1.2775667440e+01    2.6400000000e+02    2.1016449000e-02    5.4251893939e-01
         6   -1.0477285867e+01    1.1015904118e+02   -2.2789452720e+01    1.2312166853e+01   -8.0624364781e+00    6.4531551903e-01   -2.5966643206e+00   -1.2775667440e+01    2.6400000000e+02    2.1025447000e-02    5.3333333333e-01
         7   -1.0447388387e+01    1.0947997221e+02   -2.1594048667e+01    1.1146660280e+01   -6.7160653286e+00    4.7530240721e-01   -2.5776183052e+00   -1.2775667440e+01    2.6400000000e+02    2.1031965000e-02    5.4214015152e-01
         8   -1.0487351451e+01    1.1043349504e+02   -2.2170283370e+01    1.1682931919e+01   -7.3506972065e+00    5.3363793233e-01   -2.5775566557e+00   -1.2775667440e+01    2.6400000000e+02    2.0799995000e-02    5.3660037879e-01
         9   -1.0450830610e+01    1.0956858002e+02   -2.1812504053e+01    1.1361673442e+01   -7.0567172530e+00    6.8875210410e-01   -2.6688714635e+00   -1.2775667440e+01    2.6400000000e+02    2.0978089000e-02    5.3546401515e-01
        10   -1.0418667560e+01    1.0918199029e+02   -2.2324770781e+01    1.1906103221e+01   -7.5622763071e+00    5.4374540411e-01   -2.5305724381e+00   -1.2775667440e+01    2.6400000000e+02    2.0920533000e-02    5.3693181818e-01
        11   -1.0520335747e+01    1.1103418712e+02   -2.2274268294e+01    1.1753932547e+01   -7.6844606439e+00    6.7343244469e-01   -2.4875726544e+00   -1.2775667440e+01    2.6400000000e+02    2.0768754000e-02    5.3697916667e-01
        12   -1.0455179100e+01    1.0964346302e+02   -2.2418600107e+01    1.1963421007e+01   -7.5220227425e+00    4.6696574671e-01   -2.5878756712e+00   -1.2775667440e+01    2.6400000000e+02    2.1167891000e-02    5.3650568182e-01
        13   -1.0544286483e+01    1.1155274782e+02   -2.2580462881e+01    1.2036176398e+01   -7.8045592908e+00    7.1283297081e-01   -2.7130691204e+00   -1.2775667440e+01    2.6400000000e+02    2.0782615000e-02    5.3451704545e-01
        14   -1.0502532398e+01    1.1075633778e+02   -2.2335155487e+01    1.1832623089e+01   -7.4568043634e+00    6.0809305718e-01   -2.7107767407e+00   -1.2775667440e+01    2.6400000000e+02    2.1100197000e-02    5.3366477273e-01
        15   -1.0489424373e+01    1.1033937598e+02   -2.1973633775e+01    1.1484209402e+01   -7.0400056143e+00    5.4909324018e-01   -2.7070539611e+00   -1.2775667440e+01    2.6400000000e+02    2.1116699000e-02    5.4351325758e-01
        16   -1.0485963692e+01    1.1030807830e+02   -2.2296685321e+01    1.1810721628e+01   -7.3627073029e+00    5.7337992984e-01   -2.7316905074e+00   -1.2775667440e+01    2.6400000000e+02    2.0849939000e-02    5.3617424242e-01
        17   -1.0500407812e+01    1.1061510134e+02   -2.1890271727e+01    1.1389863915e+01   -6.9287107153e+00    3.8091642409e-01   -2.5668099957e+00   -1.2775667440e+01    2.6400000000e+02    2.0987762000e-02    5.3636363636e-01
        18   -1.0518385756e+01    1.1091885617e+02   -2.1719387598e+01    1.1201001842e+01   -6.9412373756e+00    6.5355859176e-01   -2.6560413741e+00   -1.2775667440e+01    2.6400000000e+02    2.1040618000e-02    5.3948863636e-01
        19   -1.0503872311e+01    1.1066157020e+02   -2.2095682076e+01    1.1591809765e+01   -7.3475509185e+00    6.6801307892e-01   -2.6404767960e+00   -1.2775667440e+01    2.6400000000e+02    2.0914802000e-02    5.3536931818e-01
        20   -1.0500214693e+01    1.1069695629e+02   -2.1897226059e+01    1.1397011366e+01   -7.2021414161e+00    7.4814755779e-01   -2.6675647610e+00   -1.2775667440e+01    2.6400000000e+02    2.0981412000e-02    5.4199810606e-01
        21   -1.0414333313e+01    1.0889483762e+02   -2.1568986956e+01    1.1154653643e+01   -6.9525392703e+00    7.0022953332e-01   -2.5410097790e+00   -1.2775667440e+01    2.6400000000e+02    2.0877060000e-02    5.3304924242e-01
        22   -1.0463745395e+01    1.0994937312e+02   -2.2294108007e+01    1.1830362612e+01   -7.6007520440e+00    6.0910482334e-01   -2.5267933460e+00   -1.2775667440e+01    2.6400000000e+02    2.1045176000e-02    5.3901515152e-01
        23   -1.0499274030e+01    1.1054042837e+02   -2.1839955004e+01    1.1340680974e+01   -7.0631768920e+00    6.4693971167e-01   -2.6480503835e+00   -1.2775667440e+01    2.6400000000e+02    2.1133669000e-02    5.3579545455e-01
        24   -1.0484215508e+01    1.1035396025e+02   -2.2294012131e+01    1.1809796623e+01   -7.5844785449e+00    7.0319358865e-01   -2.6370597347e+00   -1.2775667440e+01    2.6400000000e+02    2.1242093000e-02    5.3499053030e-01
        25   -1.0474342958e+01    1.1008392796e+02   -2.2086175872e+01    1.1611832914e+01   -7.1454734376e+00    5.5550933742e-01   -2.7205443311e+00   -1.2775667440e+01    2.6400000000e+02    2.1110900000e-02    5.4720643939e-01
        26   -1.0491425982e+01    1.1039533584e+02   -2.2010139572e+01    1.1518713590e+01   -7.2914681004e+00    6.5945476215e-01   -2.6024587934e+00   -1.2775667440e+01    2.6400000000e+02    2.0996999000e-02    5.3423295455e-01
        27   -1.0423650186e+01    1.0907399922e+02   -2.2110219463e+01    1.1686569277e+01   -7.1680241992e+00    5.5852860956e-01   -2.7250564330e+00   -1.2775667440e+01    2.6400000000e+02    2.1034697000e-02    5.3607954545e-01
        28   -1.0511004292e+01    1.1084133840e+02   -2.2132119432e+01    1.1621115140e+01   -7.0869382368e+00    5.0340636762e-01   -2.7729201228e+00   -1.2775667440e+01    2.6400000000e+02    2.0736325000e-02    5.3366477273e-01
        29   -1.0459976101e+01    1.0983653403e+02   -2.2180845220e+01    1.1720869118e+01   -7.2232497862e+00    3.7813795832e-01   -2.5600659516e+00   -1.2775667440e+01    2.6400000000e+02    2.1038427000e-02    5.3745265152e-01
        30   -1.0488197816e+01    1.1031113720e+02   -2.1936608909e+01    1.1448411093e+01   -7.1618804462e+00    6.7840472266e-01   -2.6774657453e+00   -1.2775667440e+01    2.6400000000e+02    2.0997145000e-02    5.3759469697e-01
        31   -1.0494133450e+01    1.1045183076e+02   -2.1833311447e+01    1.1339177997e+01   -6.8148950704e+00    4.7049154967e-01   -2.7132404864e+00   -1.2775667440e+01    2.6400000000e+02    2.1038058000e-02    5.3428030303e-01
        32   -1.0487724248e+01    1.1044518994e+02   -2.1788972279e+01    1.1301248030e+01   -6.6731918957e+00    3.8726121483e-01   -2.7273741576e+00   -1.2775667440e+01    2.6400000000e+02    2.1110923000e-02    5.3854166667e-01
        33   -1.0499667142e+01    1.1059483902e+02   -2.2352383871e+01    1.1852716730e+01   -7.3794220174e+00    5.4265606923e-01   -2.7399504829e+00   -1.2775667440e+01    2.6400000000e+02    2.1051328000e-02    5.3660037879e-01
        34   -1.0508257041e+01    1.1085628259e+02   -2.1854025227e+01    1.1345768186e+01   -7.0630352829e+00    4.7407697714e-01   -2.4893994807e+00   -1.2775667440e+01    2.6400000000e+02    2.1246700000e-02    5.3825757576e-01
        35   -1.0514056025e+01    1.1085118141e+02   -2.1929274058e+01    1.1415218033e+01   -7.1357809963e+00    6.4157924562e-01   -2.6594048674e+00   -1.2775667440e+01    2.6400000000e+02    2.0894972000e-02    5.2982954545e-01
        36   -1.0440101509e+01    1.0947619145e+02   -2.1636268388e+01    1.1196166879e+01   -7.0735818595e+00    6.8964042583e-01   -2.4766595145e+00   -1.2775667440e+01    2.6400000000e+02    2.1032726000e-02    5.3489583333e-01
        37   -1.0522962281e+01    1.1109667940e+02   -2.1805388951e+01    1.1282426670e+01   -6.9879306755e+00    6.1772343215e-01   -2.6595142676e+00   -1.2775667440e+01    2.6400000000e+02    2.0928460000e-02    5.4223484848e-01
        38   -1.0540037511e+01    1.1146822314e+02   -2.1985459313e+01    1.1445421802e+01   -7.0856247867e+00    5.3528967525e-01   -2.6594567614e+00   -1.2775667440e+01    2.6400000000e+02    2.1046949000e-02    5.4133522727e-01
        39   -1.0453621970e+01    1.0964728150e+02   -2.1744935137e+01    1.1291313167e+01   -6.8979669716e+00    6.8376563391e-01   -2.7550663590e+00   -1.2775667440e+01    2.6400000000e+02    2.1077927000e-02    5.3740530303e-01
        40   -1.0527772191e+01    1.1121034137e+02   -2.2344721692e+01    1.1816949501e+01   -7.3670705560e+00    5.1656160229e-01   -2.7185452978e+00   -1.2775667440e+01    2.6400000000e+02    2.0980470000e-02    5.3456439394e-01
        41   -1.0536036704e+01    1.1136421496e+02   -2.2413772382e+01    1.1877735678e+01   -7.6542920850e+00    6.0411405304e-01   -2.5879269098e+00   -1.2775667440e+01    2.6400000000e+02    2.0960897000e-02    5.3868371212e-01
        42   -1.0499394358e+01    1.1055598828e+02   -2.1808156093e+01    1.1308761735e+01   -7.0288533425e+00    6.0365532820e-01   -2.6072906386e+00   -1.2775667440e+01    2.6400000000e+02    2.1183230000e-02    5.4294507576e-01
        43   -1.0442193872e+01    1.0946395819e+02   -2.2075120398e+01    1.1632926526e+01   -7.3946211940e+00    6.6135494839e-01   -2.5661867122e+00   -1.2775667440e+01    2.6400000000e+02    2.1109038000e-02    5.3754734848e-01
        44   -1.0546540256e+01    1.1164786509e+02   -2.1837812163e+01    1.1291271907e+01   -7.0606015867e+00    6.7134039762e-01   -2.6728835335e+00   -1.2775667440e+01    2.6400000000e+02    2.1211904000e-02    5.3948863636e-01
        45   -1.0515607449e+01    1.1090962446e+02   -2.2385825795e+01    1.1870218347e+01   -7.2793535998e+00    4.3276599580e-01   -2.7635707509e+00   -1.2775667440e+01    2.6400000000e+02    2.0993925000e-02    5.3750000000e-01
        46   -1.0485194037e+01    1.1035735717e+02   -2.1987794805e+01    1.1502600767e+01   -7.3138246385e+00    7.8141139835e-01   -2.6797141241e+00   -1.2775667440e+01    2.6400000000e+02    2.1077702000e-02    5.3347537879e-01
        47   -1.0500445312e+01    1.1066163890e+02   -2.2136428367e+01    1.1635983055e+01   -7.3566179975e+00    5.0610122793e-01   -2.5102441570e+00   -1.2775667440e+01    2.6400000000e+02    2.1132027000e-02    5.3622159091e-01
        48   -1.0465484000e+01    1.0996492145e+02   -2.2378232242e+01    1.1912748242e+01   -7.5443194782e+00    6.0523754884e-01   -2.6634828722e+00   -1.2775667440e+01    2.6400000000e+02    2.1275376000e-02    5.3816287879e-01
        49   -1.0446802095e+01    1.0950822992e+02   -2.1941142285e+01    1.1494340190e+01   -6.9999422404e+00    5.2928704920e-01   -2.6948196536e+00   -1.2775667440e+01    2.6400000000e+02    2.0922395000e-02    5.4379734848e-01
        50   -1.0516445960e+01    1.1098996427e+02   -2.1929819629e+01    1.1413373668e+01   -7.4701678379e+00    8.5048582423e-01   -2.5344701749e+00   -1.2775667440e+01    2.6400000000e+02    2.1059110000e-02    5.4559659091e-01
        51   -1.0468535899e+01    1.0988339019e+02   -2.1745641494e+01    1.1277105594e+01   -6.8799692684e+00    5.3664118202e-01   -2.6266459670e+00   -1.2775667440e+01    2.6400000000e+02    2.1261995000e-02    5.3593750000e-01
        52   -1.0485625575e+01    1.1031763460e+02   -2.1574797610e+01    1.1089172035e+01   -7.0204368322e+00    7.4098059081e-01   -2.5196739287e+00   -1.2775667440e+01    2.6400000000e+02    2.0988188000e-02    5.3873106061e-01
        53   -1.0425201499e+01    1.0906280312e+02   -2.2235953836e+01    1.1810752337e+01   -7.3173573167e+00    5.2515102281e-01   -2.6680801018e+00   -1.2775667440e+01    2.6400000000e+02    2.1016041000e-02    5.3432765152e-01
        54   -1.0440883248e+01    1.0936988623e+02   -2.1974757175e+01    1.1533873927e+01   -7.1965581674e+00    6.0129134310e-01   -2.6038229107e+00   -1.2775667440e+01    2.6400000000e+02    2.1116312000e-02    5.3915719697e-01
        55   -1.0494042671e+01    1.1049581348e+02   -2.1951678522e+01    1.1457635850e+01   -7.2861863460e+00    8.2428962381e-01   -2.7141143591e+00   -1.2775667440e+01    2.6400000000e+02    2.0883369000e-02    5.3499053030e-01
        56   -1.0489688454e+01    1.1035173106e+02   -2.1993209269e+01    1.1503520816e+01   -7.2219993841e+00    6.1171759156e-01   -2.6072600365e+00   -1.2775667440e+01    2.6400000000e+02    2.1137140000e-02    5.3778409091e-01
        57   -1.0531726185e+01    1.1130904799e+02   -2.2453180710e+01    1.1921454525e+01   -7.6418522309e+00    5.2682814163e-01   -2.5624891804e+00   -1.2775667440e+01    2.6400000000e+02    2.1203521000e-02    5.4081439394e-01
        58   -1.0578304341e+01    1.1227625824e+02   -2.1981881075e+01    1.1403576734e+01   -7.1732897257e+00    6.4621326199e-01   -2.6791371709e+00   -1.2775667440e+01    2.6400000000e+02    2.0860886000e-02    5.4521780303e-01
        59   -1.0414846358e+01    1.0883468246e+02   -2.2001038633e+01    1.1586192275e+01   -7.3122146462e+00    5.7848633594e-01   -2.4916428822e+00   -1.2775667440e+01    2.6400000000e+02    2.0927143000e-02    5.3688446970e-01
        60   -1.0535041822e+01    1.1131743218e+02   -2.2116770479e+01    1.1581728657e+01   -7.2522366708e+00    4.9484358226e-01   -2.5837099504e+00   -1.2775667440e+01    2.6400000000e+02    2.0987014000e-02    5.3522727273e-01
        61   -1.0429640302e+01    1.0921885812e+02   -2.2204032970e+01    1.1774392668e+01   -7.5512437742e+00    5.8848073796e-01   -2.4656024940e+00   -1.2775667440e+01    2.6400000000e+02    2.1056899000e-02    5.4176136364e-01
        62   -1.0426631724e+01    1.0905051166e+02   -2.1938696401e+01    1.1512064677e+01   -7.1672784969e+00    5.6343852808e-01   -2.5591889923e+00   -1.2775667440e+01    2.6400000000e+02    2.1005846000e-02    5.2722537879e-01
        63   -1.0464082319e+01    1.0990471094e+02   -2.2196587531e+01    1.1732505212e+01   -7.1768049694e+00    4.9704761478e-01   -2.7411627366e+00   -1.2775667440e+01    2.6400000000e+02    2.0898575000e-02    5.3882575758e-01
        64   -1.0496553705e+01    1.1048990998e+02   -2.2021127825e+01    1.1524574120e+01   -7.2236740849e+00    6.7716226729e-01   -2.6989485668e+00   -1.2775667440e+01    2.6400000000e+02    2.1079165000e-02    5.3783143939e-01
        65   -1.0502598582e+01    1.1070117680e+02   -2.2009815785e+01    1.1507217204e+01   -7.2728953553e+00    6.2867548301e-01   -2.5899284728e+00   -1.2775667440e+01    2.6400000000e+02    2.1152005000e-02    5.4450757576e-01
        66   -1.0588963782e+01    1.1255224898e+02   -2.2045190181e+01    1.1456226399e+01   -7.2352297287e+00    6.9217947098e-01   -2.7264724826e+00   -1.2775667440e+01    2.6400000000e+02    2.1165785000e-02    5.3025568182e-01
        67   -1.0464360209e+01    1.0978066720e+02   -2.1651042068e+01    1.1186681859e+01   -6.9274030011e+00    6.7447737679e-01   -2.6224490034e+00   -1.2775667440e+01    2.6400000000e+02    2.1021938000e-02    5.3901515152e-01
        68   -1.0516277657e+01    1.1087519990e+02   -2.2221918688e+01    1.1705641031e+01   -7.4912222675e+00    6.7604409105e-01   -2.6310730717e+00   -1.2775667440e+01    2.6400000000e+02    2.1166932000e-02    5.4427083333e-01
        69   -1.0512316041e+01    1.1087166904e+02   -2.2032264331e+01    1.1519948290e+01   -7.0703569827e+00    5.2797779501e-01   -2.7142177035e+00   -1.2775667440e+01    2.6400000000e+02    2.1190282000e-02    5.3996212121e-01
        70   -1.0518921075e+01    1.1109909264e+02   -2.1667047896e+01    1.1148126821e+01   -7.0833390783e+00    7.7484101178e-01   -2.5828823897e+00   -1.2775667440e+01    2.6400000000e+02    2.1123447000e-02    5.3063446970e-01
        71   -1.0506214236e+01    1.1067288285e+02   -2.2098450160e+01    1.1592235924e+01   -7.2216811471e+00    5.4079172998e-01   -2.6418933030e+00   -1.2775667440e+01    2.6400000000e+02    2.0791002000e-02    5.4318181818e-01
