#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0459896575e+01    1.0980652382e+02   -2.1986418743e+01    1.1526522168e+01   -7.2167804259e+00    6.3520431019e-01   -2.6291751867e+00   -1.2775667440e+01    5.1600000000e+02    2.0391238667e-02    5.3834786822e-01
         1   -1.0506163535e+01    1.1074457479e+02   -2.1967956159e+01    1.1461792623e+01   -7.1249493227e+00    5.4185999123e-01   -2.6091993870e+00   -1.2775667440e+01    5.1600000000e+02    2.1564783167e-02    5.3558624031e-01
         2   -1.0525339779e+01    1.1119680872e+02   -2.2084436984e+01    1.1559097205e+01   -7.1710462265e+00    5.5256545173e-01   -2.6902887691e+00   -1.2775667440e+01    5.1600000000e+02    2.1588949583e-02    5.3747577519e-01
         3   -1.0491403400e+01    1.1048211385e+02   -2.2299547571e+01    1.1808144171e+01   -7.4791869702e+00    5.7082315811e-01   -2.6155163182e+00   -1.2775667440e+01    5.1600000000e+02    2.1485433250e-02    5.3699127907e-01
         4   -1.0446856355e+01    1.0959516672e+02   -2.2298007488e+01    1.1851151133e+01   -7.5406933142e+00    5.3839806593e-01   -2.5200447996e+00   -1.2775667440e+01    5.1600000000e+02    2.1921133750e-02    5.3665213178e-01
         5   -1.0507798464e+01    1.1078531410e+02   -2.2156641236e+01    1.1648842772e+01   -7.4431640122e+00    6.5925848836e-01   -2.5970682718e+00   -1.2775667440e+01    5.1600000000e+02    2.1588776250e-02    5.3817829457e-01
         6   -1.0506592975e+01    1.1073102698e+02   -2.2056206292e+01    1.1549613317e+01   -7.2249205746e+00    5.5294330406e-01   -2.6085615810e+00   -1.2775667440e+01    5.1600000000e+02    2.1660798333e-02    5.3810562016e-01
         7   -1.0483885084e+01    1.1031019334e+02   -2.2366671537e+01    1.1882786452e+01   -7.6580242753e+00    5.1658557927e-01   -2.4495654003e+00   -1.2775667440e+01    5.1600000000e+02    2.1708725667e-02    5.3703972868e-01
         8   -1.0488128599e+01    1.1038709870e+02   -2.2062290174e+01    1.1574161575e+01   -7.3798927706e+00    5.5326153440e-01   -2.4599914972e+00   -1.2775667440e+01    5.1600000000e+02    2.2243385417e-02    5.3687015504e-01
         9   -1.0524055122e+01    1.1115874821e+02   -2.1967436136e+01    1.1443381014e+01   -7.1632652734e+00    5.9686739366e-01   -2.6253708165e+00   -1.2775667440e+01    5.1600000000e+02    2.2230400917e-02    5.3888081395e-01
        10   -1.0511896214e+01    1.1094820973e+02   -2.1928925200e+01    1.1417028986e+01   -7.3310162505e+00    7.3214657732e-01   -2.5543880864e+00   -1.2775667440e+01    5.1600000000e+02    2.2126805917e-02    5.3774224806e-01
        11   -1.0437523721e+01    1.0929400600e+02   -2.1954223652e+01    1.1516699931e+01   -7.1663219261e+00    5.5238550890e-01   -2.5646197946e+00   -1.2775667440e+01    5.1600000000e+02    2.2087969083e-02    5.3919573643e-01
        12   -1.0475868110e+01    1.1010761132e+02   -2.2050164208e+01    1.1574296098e+01   -7.2001573302e+00    5.7300201968e-01   -2.6473414573e+00   -1.2775667440e+01    5.1600000000e+02    2.2169950167e-02    5.3817829457e-01
        13   -1.0500127777e+01    1.1060709002e+02   -2.1852245968e+01    1.1352118191e+01   -7.1424102065e+00    6.0932348610e-01   -2.5434918070e+00   -1.2775667440e+01    5.1600000000e+02    2.2131699167e-02    5.3677325581e-01
        14   -1.0489697651e+01    1.1040096055e+02   -2.1927487672e+01    1.1437790021e+01   -7.1797010541e+00    6.7289118490e-01   -2.6450103624e+00   -1.2775667440e+01    5.1600000000e+02    2.2486008667e-02    5.3447189922e-01
        15   -1.0479351965e+01    1.1015544844e+02   -2.1766836927e+01    1.1287484961e+01   -7.0393299124e+00    6.5619684280e-01   -2.6080364167e+00   -1.2775667440e+01    5.1600000000e+02    2.1668799667e-02    5.3592538760e-01
        16   -1.0521144974e+01    1.1108422172e+02   -2.1706433034e+01    1.1185288060e+01   -6.9083779411e+00    6.6180858878e-01   -2.6841962414e+00   -1.2775667440e+01    5.1600000000e+02    2.1996503500e-02    5.3779069767e-01
