#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0469620400e+01    1.1006332900e+02   -2.1330002501e+01    1.0860382101e+01   -6.7085123432e+00    6.2367802308e-01   -2.4695007408e+00   -1.2775667440e+01    1.2000000000e+02    5.1476830000e-03    7.7083333333e-01
         1   -1.0470994638e+01    1.1002920622e+02   -2.2613588490e+01    1.2142593852e+01   -7.4790609422e+00    3.5072051442e-01   -2.7095806224e+00   -1.2775667440e+01    1.2000000000e+02    5.0229440000e-03    7.4826388889e-01
         2   -1.0526288594e+01    1.1113185157e+02   -2.1794205801e+01    1.1267917206e+01   -6.8290486646e+00    6.6924594900e-01   -2.8587356447e+00   -1.2775667440e+01    1.2000000000e+02    5.1387060000e-03    7.6354166667e-01
         3   -1.0406715319e+01    1.0881395907e+02   -2.1484279675e+01    1.1077564356e+01   -7.0260160487e+00    8.7530683445e-01   -2.5579030201e+00   -1.2775667440e+01    1.2000000000e+02    5.0741060000e-03    7.5868055556e-01
         4   -1.0613666417e+01    1.1301814979e+02   -2.1372155812e+01    1.0758489395e+01   -6.7742984534e+00    7.2752451856e-01   -2.5497144367e+00   -1.2775667440e+01    1.2000000000e+02    5.1654930000e-03    7.6319444444e-01
         5   -1.0518034997e+01    1.1094855503e+02   -2.1757233809e+01    1.1239198812e+01   -7.1880093826e+00    9.7766232927e-01   -2.7712193157e+00   -1.2775667440e+01    1.2000000000e+02    5.1803500000e-03    7.7569444444e-01
         6   -1.0468021238e+01    1.0986871193e+02   -2.0980390721e+01    1.0512369483e+01   -6.1110859241e+00    6.9946866359e-01   -2.7931060203e+00   -1.2775667440e+01    1.2000000000e+02    5.1569590000e-03    7.6666666667e-01
         7   -1.0561267995e+01    1.1202553761e+02   -2.2146606469e+01    1.1585338474e+01   -7.4756547916e+00    7.5939576245e-01   -2.6546799998e+00   -1.2775667440e+01    1.2000000000e+02    5.1401570000e-03    7.5381944444e-01
         8   -1.0572372778e+01    1.1210361651e+02   -2.1668370018e+01    1.1095997240e+01   -6.5235135671e+00    4.5767969748e-01   -2.8268687086e+00   -1.2775667440e+01    1.2000000000e+02    5.1642730000e-03    7.5659722222e-01
         9   -1.0479012589e+01    1.1014562780e+02   -2.2229300999e+01    1.1750288410e+01   -7.9447308153e+00    1.0553432337e+00   -2.5642459773e+00   -1.2775667440e+01    1.2000000000e+02    5.1150170000e-03    7.5868055556e-01
        10   -1.0571137792e+01    1.1211055403e+02   -2.1453009419e+01    1.0881871627e+01   -6.4323213027e+00    4.8834093195e-01   -2.7333616075e+00   -1.2775667440e+01    1.2000000000e+02    5.1312400000e-03    7.6909722222e-01
        11   -1.0415726243e+01    1.0878550291e+02   -2.2030492624e+01    1.1614766381e+01   -7.2879269494e+00    7.2140891786e-01   -2.6883071522e+00   -1.2775667440e+01    1.2000000000e+02    5.0893930000e-03    7.6215277778e-01
        12   -1.0543269690e+01    1.1157939034e+02   -2.1869959891e+01    1.1326690201e+01   -7.0000961978e+00    7.3459542056e-01   -2.8287916733e+00   -1.2775667440e+01    1.2000000000e+02    5.1181870000e-03    7.7812500000e-01
        13   -1.0523308581e+01    1.1109917111e+02   -2.2166230392e+01    1.1642921811e+01   -7.4479002857e+00    7.0698881948e-01   -2.6496514854e+00   -1.2775667440e+01    1.2000000000e+02    5.1062640000e-03    7.6979166667e-01
        14   -1.0549379117e+01    1.1154438167e+02   -2.2121393117e+01    1.1572014000e+01   -7.2342707836e+00    5.1989632035e-01   -2.6313512134e+00   -1.2775667440e+01    1.2000000000e+02    5.3022660000e-03    7.5451388889e-01
        15   -1.0544129277e+01    1.1150602009e+02   -2.2181477675e+01    1.1637348398e+01   -7.5901381561e+00    8.7137021792e-01   -2.6870422964e+00   -1.2775667440e+01    1.2000000000e+02    5.1151050000e-03    7.4201388889e-01
        16   -1.0509721934e+01    1.1099507726e+02   -2.2425780569e+01    1.1916058635e+01   -7.4823317349e+00    5.7959738176e-01   -2.7473787756e+00   -1.2775667440e+01    1.2000000000e+02    5.2224390000e-03    7.5659722222e-01
        17   -1.0469491310e+01    1.1014414501e+02   -2.1795458623e+01    1.1325967313e+01   -6.8061867808e+00    4.8475169323e-01   -2.6983560956e+00   -1.2775667440e+01    1.2000000000e+02    5.0980810000e-03    7.6597222222e-01
        18   -1.0508901526e+01    1.1105951327e+02   -2.2086997430e+01    1.1578095904e+01   -7.1286947163e+00    4.9869703616e-01   -2.6813323098e+00   -1.2775667440e+01    1.2000000000e+02    5.1613460000e-03    7.5833333333e-01
        19   -1.0370561225e+01    1.0799166700e+02   -2.2404015785e+01    1.2033454560e+01   -7.7232037459e+00    6.4697066286e-01   -2.5521152617e+00   -1.2775667440e+01    1.2000000000e+02    5.0933850000e-03    7.5277777778e-01
        20   -1.0614831917e+01    1.1293667375e+02   -2.2051617565e+01    1.1436785648e+01   -7.2208369352e+00    7.1128834225e-01   -2.7664015317e+00   -1.2775667440e+01    1.2000000000e+02    5.1199520000e-03    7.7638888889e-01
        21   -1.0507901413e+01    1.1080809213e+02   -2.2000695390e+01    1.1492793977e+01   -7.3159734783e+00    8.3892474766e-01   -2.7479792191e+00   -1.2775667440e+01    1.2000000000e+02    5.0966080000e-03    7.7465277778e-01
        22   -1.0483621505e+01    1.1017747345e+02   -2.1156978419e+01    1.0673356914e+01   -6.8601992882e+00    9.2919054423e-01   -2.4503022346e+00   -1.2775667440e+01    1.2000000000e+02    5.0715620000e-03    7.6527777778e-01
        23   -1.0501975164e+01    1.1055789659e+02   -2.2492179218e+01    1.1990204055e+01   -7.5359733695e+00    5.5322614460e-01   -2.7337645533e+00   -1.2775667440e+01    1.2000000000e+02    5.1458550000e-03    7.5034722222e-01
        24   -1.0593847255e+01    1.1259941320e+02   -2.1729605881e+01    1.1135758626e+01   -7.0204669126e+00    9.7919396091e-01   -2.9126654896e+00   -1.2775667440e+01    1.2000000000e+02    5.1786310000e-03    7.7326388889e-01
        25   -1.0446579020e+01    1.0942886224e+02   -2.2471431388e+01    1.2024852368e+01   -7.5225146485e+00    5.4766063780e-01   -2.7209099368e+00   -1.2775667440e+01    1.2000000000e+02    5.0997640000e-03    7.6250000000e-01
        26   -1.0456743416e+01    1.0991938165e+02   -2.2197194017e+01    1.1740450601e+01   -7.4876561169e+00    6.7444900715e-01   -2.6083194667e+00   -1.2775667440e+01    1.2000000000e+02    5.1657650000e-03    7.5625000000e-01
        27   -1.0468766364e+01    1.1012701343e+02   -2.2777340721e+01    1.2308574357e+01   -7.9780720659e+00    6.6186104333e-01   -2.6854622582e+00   -1.2775667440e+01    1.2000000000e+02    5.1105170000e-03    7.5868055556e-01
        28   -1.0502421430e+01    1.1061108097e+02   -2.1989038959e+01    1.1486617529e+01   -7.7026376143e+00    9.8021612096e-01   -2.4909500253e+00   -1.2775667440e+01    1.2000000000e+02    5.1387840000e-03    7.5798611111e-01
        29   -1.0433376565e+01    1.0924937469e+02   -2.2479804078e+01    1.2046427514e+01   -7.7039510631e+00    5.2558849803e-01   -2.5257740730e+00   -1.2775667440e+01    1.2000000000e+02    5.1963550000e-03    7.6944444444e-01
        30   -1.0466557694e+01    1.0987212472e+02   -2.2643659095e+01    1.2177101401e+01   -7.8734066117e+00    6.7141037085e-01   -2.6659954143e+00   -1.2775667440e+01    1.2000000000e+02    5.1835220000e-03    7.6666666667e-01
        31   -1.0489914646e+01    1.1038160108e+02   -2.2131727256e+01    1.1641812610e+01   -7.7399923710e+00    1.1039207430e+00   -2.7199881877e+00   -1.2775667440e+01    1.2000000000e+02    5.1939810000e-03    7.4131944444e-01
        32   -1.0425677180e+01    1.0910229624e+02   -2.1834689056e+01    1.1409011876e+01   -6.9506381602e+00    6.3386084077e-01   -2.7422442961e+00   -1.2775667440e+01    1.2000000000e+02    5.1673350000e-03    7.4131944444e-01
        33   -1.0454185690e+01    1.0958774607e+02   -2.3056620745e+01    1.2602435056e+01   -8.3619654036e+00    5.8688779770e-01   -2.5058756992e+00   -1.2775667440e+01    1.2000000000e+02    5.1821240000e-03    7.5590277778e-01
        34   -1.0609513316e+01    1.1479029757e+02   -2.1489092397e+01    1.0879579082e+01   -7.5085442921e+00    1.3949225583e+00   -2.5998032233e+00   -1.2775667440e+01    1.2000000000e+02    5.1997040000e-03    7.6111111111e-01
        35   -1.0537074073e+01    1.1129396930e+02   -2.1771655211e+01    1.1234581138e+01   -7.1174720325e+00    6.1941776090e-01   -2.4979334989e+00   -1.2775667440e+01    1.2000000000e+02    5.1085800000e-03    7.6805555556e-01
        36   -1.0498659400e+01    1.1061375745e+02   -2.2037263650e+01    1.1538604250e+01   -7.4353319736e+00    8.6152790356e-01   -2.6877921400e+00   -1.2775667440e+01    1.2000000000e+02    5.1202480000e-03    7.6250000000e-01
        37   -1.0488570612e+01    1.1026843934e+02   -2.1724722809e+01    1.1236152197e+01   -7.1478906328e+00    7.3729721595e-01   -2.5384619518e+00   -1.2775667440e+01    1.2000000000e+02    5.1803080000e-03    7.5034722222e-01
        38   -1.0454486793e+01    1.0963645649e+02   -2.2899705624e+01    1.2445218831e+01   -7.8847074832e+00    4.2654903841e-01   -2.6658797389e+00   -1.2775667440e+01    1.2000000000e+02    5.1709460000e-03    7.6041666667e-01
        39   -1.0499703179e+01    1.1075117466e+02   -2.2352038995e+01    1.1852335816e+01   -7.2745479573e+00    1.8417952596e-01   -2.4860031231e+00   -1.2775667440e+01    1.2000000000e+02    5.1152010000e-03    7.5625000000e-01
        40   -1.0530790360e+01    1.1131781321e+02   -2.2204887076e+01    1.1674096715e+01   -7.1614603644e+00    6.2481634537e-01   -2.8925756165e+00   -1.2775667440e+01    1.2000000000e+02    5.1552120000e-03    7.6076388889e-01
        41   -1.0519172689e+01    1.1106864829e+02   -2.2141171527e+01    1.1621998838e+01   -7.1836303830e+00    5.0280571199e-01   -2.6846794159e+00   -1.2775667440e+01    1.2000000000e+02    5.1618390000e-03    7.5625000000e-01
        42   -1.0520013347e+01    1.1108669266e+02   -2.2102777814e+01    1.1582764468e+01   -7.4011455919e+00    6.2355117441e-01   -2.5495159566e+00   -1.2775667440e+01    1.2000000000e+02    5.1292080000e-03    7.5451388889e-01
        43   -1.0489866985e+01    1.1036201992e+02   -2.1673056072e+01    1.1183189087e+01   -6.8847302775e+00    7.2838912297e-01   -2.7410474776e+00   -1.2775667440e+01    1.2000000000e+02    5.1343750000e-03    7.5659722222e-01
        44   -1.0468022895e+01    1.0992618926e+02   -2.2724793639e+01    1.2256770745e+01   -7.7081821754e+00    4.8936860646e-01   -2.7303126303e+00   -1.2775667440e+01    1.2000000000e+02    5.1594370000e-03    7.4791666667e-01
        45   -1.0545163213e+01    1.1158336438e+02   -2.1961965594e+01    1.1416802381e+01   -7.0341627713e+00    4.9263992130e-01   -2.6447753038e+00   -1.2775667440e+01    1.2000000000e+02    5.1207890000e-03    7.6145833333e-01
