#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0521576582e+01    1.1113153838e+02   -2.2198603120e+01    1.1677026538e+01   -7.4357779113e+00    6.3422813489e-01   -2.6213859035e+00   -1.2775667440e+01    5.1187585954e+03    1.8408489600e-01    9.8741692729e-01
         1   -1.0514781924e+01    1.1094605850e+02   -2.2301408696e+01    1.1786626772e+01   -7.5877824038e+00    6.6229305758e-01   -2.6002519099e+00   -1.2775667440e+01    5.1208331710e+03    1.8439052100e-01    9.8694867291e-01
         2   -1.0499523484e+01    1.1060480395e+02   -2.2298002001e+01    1.1798478517e+01   -7.5512969580e+00    6.2931456546e-01   -2.6003521685e+00   -1.2775667440e+01    5.1169830366e+03    1.8437664700e-01    9.8675982021e-01
         3   -1.0528429099e+01    1.1121217893e+02   -2.2193425200e+01    1.1664996101e+01   -7.4626132000e+00    6.7423884257e-01   -2.6293834019e+00   -1.2775667440e+01    5.1137248399e+03    1.8484586200e-01    9.8649509804e-01
         4   -1.0530567552e+01    1.1128130021e+02   -2.2024159268e+01    1.1493591715e+01   -7.3157757961e+00    7.0049739000e-01   -2.6332134213e+00   -1.2775667440e+01    5.1246729193e+03    1.8658271600e-01    9.8827515601e-01
         5   -1.0530677099e+01    1.1130178080e+02   -2.2095931491e+01    1.1565254392e+01   -7.2968102713e+00    6.2841319361e-01   -2.6518669728e+00   -1.2775667440e+01    5.1479468484e+03    1.8645358400e-01    9.8771367521e-01
         6   -1.0516849676e+01    1.1099287652e+02   -2.2112030638e+01    1.1595180962e+01   -7.3036226634e+00    6.4475932055e-01   -2.6774998549e+00   -1.2775667440e+01    5.1691293394e+03    1.8887133000e-01    9.8653548637e-01
         7   -1.0530603188e+01    1.1127453405e+02   -2.1992873789e+01    1.1462270602e+01   -7.2251921497e+00    6.6283061050e-01   -2.6548448099e+00   -1.2775667440e+01    5.1742076309e+03    1.8903868400e-01    9.8758454106e-01
         8   -1.0539570530e+01    1.1143351776e+02   -2.1996195006e+01    1.1456624475e+01   -7.1283653054e+00    6.1823254355e-01   -2.7103948035e+00   -1.2775667440e+01    5.1562862672e+03    1.8866866000e-01    9.8763576416e-01
         9   -1.0531528001e+01    1.1126814421e+02   -2.2017920781e+01    1.1486392780e+01   -7.1574632334e+00    6.1047516903e-01   -2.6952652765e+00   -1.2775667440e+01    5.1555758479e+03    1.9042330100e-01    9.8732059736e-01
        10   -1.0523862856e+01    1.1117998708e+02   -2.2018922809e+01    1.1495059953e+01   -7.1783550876e+00    6.5901260619e-01   -2.7239128873e+00   -1.2775667440e+01    5.1623551765e+03    1.8716963200e-01    9.8845371805e-01
        11   -1.0525838685e+01    1.1117021466e+02   -2.1911356959e+01    1.1385518274e+01   -7.0563281689e+00    5.9706184863e-01   -2.6764231988e+00   -1.2775667440e+01    5.1342674207e+03    1.8634627900e-01    9.8795034080e-01
        12   -1.0528337308e+01    1.1123424715e+02   -2.2041827137e+01    1.1513489829e+01   -7.2368913785e+00    6.3060367102e-01   -2.6598719888e+00   -1.2775667440e+01    5.1071101849e+03    1.8409805600e-01    9.8719894263e-01
        13   -1.0524773308e+01    1.1121789553e+02   -2.2164780662e+01    1.1640007354e+01   -7.3953992005e+00    6.6091243578e-01   -2.6546264571e+00   -1.2775667440e+01    5.1168763375e+03    1.8586262700e-01    9.8668653508e-01
        14   -1.0520690500e+01    1.1107929978e+02   -2.2060661948e+01    1.1539971449e+01   -7.2218869598e+00    6.0708589562e-01   -2.6701934438e+00   -1.2775667440e+01    5.0836536650e+03    1.8457972800e-01    9.8733772620e-01
        15   -1.0539632640e+01    1.1143984977e+02   -2.1969102598e+01    1.1429469958e+01   -7.1029458542e+00    6.0952198257e-01   -2.7000112858e+00   -1.2775667440e+01    5.0365348808e+03    1.8341667800e-01    9.8827969805e-01
        16   -1.0527515424e+01    1.1119596105e+02   -2.2000892373e+01    1.1473376949e+01   -7.1462494819e+00    5.9731324710e-01   -2.6762886977e+00   -1.2775667440e+01    5.0249623432e+03    1.8211281400e-01    9.8691021302e-01
        17   -1.0523620696e+01    1.1110409624e+02   -2.2018819717e+01    1.1495199021e+01   -7.0795524308e+00    5.5701338336e-01   -2.7206132291e+00   -1.2775667440e+01    4.9929121960e+03    1.8031894000e-01    9.8665097175e-01
        18   -1.0540315887e+01    1.1145450378e+02   -2.2072966409e+01    1.1532650523e+01   -7.1163077968e+00    5.6475066635e-01   -2.7457418387e+00   -1.2775667440e+01    4.9850988057e+03    1.7939204900e-01    9.8732938579e-01
        19   -1.0534342485e+01    1.1133914792e+02   -2.2060829113e+01    1.1526486628e+01   -7.1424203625e+00    5.8289954427e-01   -2.7256408542e+00   -1.2775667440e+01    4.9855353244e+03    1.8135551900e-01    9.8765556002e-01
