#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 KEcorr              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0699041839e+01    1.1561588542e+02   -2.1892536251e+01    1.1193494412e+01   -7.5322162265e+00    1.0249464108e+00   -2.6095989946e+00   -1.2775667440e+01   -2.3347007280e+00    9.5428230307e-02    6.0000000000e+01    4.1151102500e-03    7.6944444444e-01
         1   -1.0564594338e+01    1.1213746461e+02   -2.2737365929e+01    1.2172771590e+01   -7.9602126959e+00    5.9314194590e-01   -2.5946277382e+00   -1.2775667440e+01   -2.3542711997e+00    9.5428230307e-02    6.0000000000e+01    3.8336030000e-03    7.5208333333e-01
         2   -1.0601211233e+01    1.1305298793e+02   -2.2669684614e+01    1.2068473381e+01   -8.3001598867e+00    9.8409083578e-01   -2.5779481232e+00   -1.2775667440e+01   -2.3228233972e+00    9.5428230307e-02    6.0000000000e+01    4.7814786667e-03    7.7986111111e-01
         3   -1.0371951884e+01    1.0789951133e+02   -2.3206418880e+01    1.2834466997e+01   -8.6472559975e+00    7.3324615175e-01   -2.5167415941e+00   -1.2775667440e+01   -2.2806729895e+00    9.5428230307e-02    6.0000000000e+01    3.8998624167e-03    7.3472222222e-01
         4   -1.0422753366e+01    1.0901399045e+02   -2.2790127369e+01    1.2367374004e+01   -8.2491628535e+00    7.0436198779e-01   -2.4696590634e+00   -1.2775667440e+01   -2.2355286515e+00    9.5428230307e-02    6.0000000000e+01    3.9302495833e-03    7.7291666667e-01
         5   -1.0341681423e+01    1.0755373291e+02   -2.2317657846e+01    1.1975976423e+01   -7.6122588177e+00    5.9178003764e-01   -2.5215116260e+00   -1.2775667440e+01   -2.2320336647e+00    9.5428230307e-02    6.0000000000e+01    4.6294179167e-03    7.6805555556e-01
         6   -1.0314064700e+01    1.0674101379e+02   -2.1026321756e+01    1.0712257057e+01   -6.3843903252e+00    5.1621472452e-01   -2.3824787153e+00   -1.2775667440e+01   -2.0697029965e+00    9.5428230307e-02    6.0000000000e+01    3.8454959167e-03    7.5000000000e-01
         7   -1.0431531475e+01    1.0932350100e+02   -2.1172759499e+01    1.0741228025e+01   -6.7577720587e+00    9.7521416474e-01   -2.6145341651e+00   -1.2775667440e+01   -2.3299737650e+00    9.5428230307e-02    6.0000000000e+01    4.1971592500e-03    7.6597222222e-01
         8   -1.0481166592e+01    1.1026682948e+02   -2.2045385095e+01    1.1564218503e+01   -6.7391848265e+00    4.1770264964e-01   -2.9482354779e+00   -1.2775667440e+01   -2.7007160776e+00    9.5428230307e-02    6.0000000000e+01    4.4811622500e-03    7.6736111111e-01
         9   -1.0551231960e+01    1.1162071853e+02   -2.1520295127e+01    1.0969063167e+01   -6.2823522380e+00    5.4127497340e-01   -3.0035504218e+00   -1.2775667440e+01   -2.7397330937e+00    9.5428230307e-02    6.0000000000e+01    3.9033547500e-03    7.4722222222e-01
        10   -1.0450070698e+01    1.0971452985e+02   -2.1187816863e+01    1.0737746165e+01   -6.6390886688e+00    4.8580483688e-01   -2.2588655907e+00   -1.2775667440e+01   -2.0019305914e+00    9.5428230307e-02    6.0000000000e+01    4.4718709167e-03    7.6527777778e-01
        11   -1.0297801575e+01    1.0638921109e+02   -2.1678494672e+01    1.1380693097e+01   -7.6010309543e+00    9.4537919637e-01   -2.2471754739e+00   -1.2775667440e+01   -1.9649725848e+00    9.5428230307e-02    6.0000000000e+01    4.2271300000e-03    7.6250000000e-01
        12   -1.0513948020e+01    1.1080164005e+02   -2.1434639534e+01    1.0920691514e+01   -6.4097973612e+00    5.3795897914e-01   -2.7871337119e+00   -1.2775667440e+01   -2.5688048204e+00    9.5428230307e-02    6.0000000000e+01    3.8796324167e-03    7.5902777778e-01
        13   -1.0481132844e+01    1.1025198082e+02   -2.1791395157e+01    1.1310262313e+01   -6.9562818148e+00    6.0843691898e-01   -2.6678828212e+00   -1.2775667440e+01   -2.4007348114e+00    9.5428230307e-02    6.0000000000e+01    4.5642157500e-03    7.8819444444e-01
        14   -1.0462985592e+01    1.0981340811e+02   -2.1883216364e+01    1.1420230772e+01   -6.9056803273e+00    3.2454248400e-01   -2.5264110800e+00   -1.2775667440e+01   -2.3084818766e+00    9.5428230307e-02    6.0000000000e+01    3.8766538333e-03    7.5138888889e-01
        15   -1.0419362669e+01    1.0886332724e+02   -2.1811832361e+01    1.1392469693e+01   -7.0203486506e+00    6.2606226282e-01   -2.6418785332e+00   -1.2775667440e+01   -2.4012344950e+00    9.5428230307e-02    6.0000000000e+01    3.8620930000e-03    7.7500000000e-01
        16   -1.0598536444e+01    1.1257043962e+02   -2.2095868144e+01    1.1497331700e+01   -7.4291356513e+00    8.7122261092e-01   -2.7622876638e+00   -1.2775667440e+01   -2.5292229038e+00    9.5428230307e-02    6.0000000000e+01    4.0420930833e-03    7.5902777778e-01
        17   -1.0418361947e+01    1.0890503727e+02   -2.2056098462e+01    1.1637736515e+01   -7.4378994799e+00    2.2656691310e-01   -2.0690984554e+00   -1.2775667440e+01   -1.7374760294e+00    9.5428230307e-02    6.0000000000e+01    3.8629881667e-03    7.4930555556e-01
        18   -1.0446970311e+01    1.0958198728e+02   -2.1397365782e+01    1.0950395470e+01   -6.5661996137e+00    6.6786147330e-01   -2.7233602010e+00   -1.2775667440e+01   -2.4057825942e+00    9.5428230307e-02    6.0000000000e+01    3.8531195000e-03    7.4722222222e-01
        19   -1.0361855058e+01    1.0829875228e+02   -2.0307543188e+01    9.9456881300e+00   -5.6375171229e+00    9.9539318019e-01   -2.8897518053e+00   -1.2775667440e+01   -2.6124794383e+00    9.5428230307e-02    6.0000000000e+01    4.0817107500e-03    7.6458333333e-01
        20   -1.0581638991e+01    1.1213166170e+02   -2.1418042181e+01    1.0836403190e+01   -6.1125987881e+00    3.9636165234e-01   -2.9261376051e+00   -1.2775667440e+01   -2.6893034755e+00    9.5428230307e-02    6.0000000000e+01    3.8316485833e-03    7.8750000000e-01
        21   -1.0437091663e+01    1.0936619383e+02   -2.2043420014e+01    1.1606328351e+01   -6.5723226327e+00    2.2652790280e-01   -2.9219578438e+00   -1.2775667440e+01   -2.7273010277e+00    9.5428230307e-02    6.0000000000e+01    4.0608444167e-03    7.4513888889e-01
        22   -1.0549083847e+01    1.1158119850e+02   -2.2106363243e+01    1.1557279396e+01   -7.4105579104e+00    6.3748367705e-01   -2.5576215692e+00   -1.2775667440e+01   -2.3212598757e+00    9.5428230307e-02    6.0000000000e+01    3.9678315833e-03    7.5069444444e-01
        23   -1.0427780995e+01    1.0899678522e+02   -2.1141723840e+01    1.0713942845e+01   -6.1760729697e+00    2.8525120808e-01   -2.4752346385e+00   -1.2775667440e+01   -2.1751076337e+00    9.5428230307e-02    6.0000000000e+01    4.1262281667e-03    7.4444444444e-01
        24   -1.0580185519e+01    1.1220386538e+02   -2.1550253157e+01    1.0970067638e+01   -6.5520560745e+00    6.5641895770e-01   -2.8789486001e+00   -1.2775667440e+01   -2.6370909601e+00    9.5428230307e-02    6.0000000000e+01    3.8521646667e-03    7.6250000000e-01
        25   -1.0489344851e+01    1.1033235938e+02   -2.2421929865e+01    1.1932585014e+01   -7.4915057451e+00    6.5556474153e-01   -2.8103214208e+00   -1.2775667440e+01   -2.5818251820e+00    9.5428230307e-02    6.0000000000e+01    3.9161212500e-03    7.7083333333e-01
        26   -1.0491463465e+01    1.1030698091e+02   -2.1521470617e+01    1.1030007152e+01   -6.7226847061e+00    6.0155221762e-01   -2.6246706880e+00   -1.2775667440e+01   -2.3663192881e+00    9.5428230307e-02    6.0000000000e+01    3.8062440000e-03    7.7638888889e-01
        27   -1.0435580049e+01    1.0938839318e+02   -2.3148539077e+01    1.2712959028e+01   -7.9675152712e+00    1.6421687528e-01   -2.5695732413e+00   -1.2775667440e+01   -2.3353882165e+00    9.5428230307e-02    6.0000000000e+01    3.8197273333e-03    7.5347222222e-01
        28   -1.0535710701e+01    1.1129060572e+02   -2.1399156454e+01    1.0863445753e+01   -6.7089015497e+00    6.3028049885e-01   -2.5448679628e+00   -1.2775667440e+01   -2.3017722577e+00    9.5428230307e-02    6.0000000000e+01    3.8019200833e-03    7.7500000000e-01
        29   -1.0510488174e+01    1.1081108714e+02   -2.3278168327e+01    1.2767680154e+01   -8.3354783953e+00    3.4083266144e-01   -2.5078551533e+00   -1.2775667440e+01   -2.2516448132e+00    9.5428230307e-02    6.0000000000e+01    3.8260710000e-03    7.4861111111e-01
        30   -1.0378706854e+01    1.0809347451e+02   -2.2787006408e+01    1.2408299553e+01   -8.3960060527e+00    6.4447776534e-01   -2.2598106801e+00   -1.2775667440e+01   -2.0121672170e+00    9.5428230307e-02    6.0000000000e+01    3.8250224167e-03    7.3611111111e-01
