#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0477767506e+01    1.1017412070e+02   -2.2197085085e+01    1.1719317578e+01   -7.4718645290e+00    6.4260383945e-01   -2.5921569551e+00   -1.2775667440e+01    5.1280000000e+03    1.6192866167e-01    9.8817342839e-01
         1   -1.0500101808e+01    1.1062608111e+02   -2.2167214096e+01    1.1667112288e+01   -7.5014146232e+00    6.7391150029e-01   -2.5640435331e+00   -1.2775667440e+01    5.1040000000e+03    1.6001758533e-01    9.8744581423e-01
         2   -1.0509395535e+01    1.1086063018e+02   -2.2240591701e+01    1.1731196166e+01   -7.5087076879e+00    6.5799395963e-01   -2.6142105321e+00   -1.2775667440e+01    5.1140000000e+03    1.5982145833e-01    9.8726018424e-01
         3   -1.0548212480e+01    1.1165253530e+02   -2.2128103649e+01    1.1579891169e+01   -7.3235717168e+00    6.2847495741e-01   -2.6573394495e+00   -1.2775667440e+01    5.1150000000e+03    1.6083545367e-01    9.8721887501e-01
         4   -1.0528065785e+01    1.1121531869e+02   -2.2037676171e+01    1.1509610386e+01   -7.2406742092e+00    6.4055542790e-01   -2.6618899496e+00   -1.2775667440e+01    5.1320000000e+03    1.6190993700e-01    9.8714594539e-01
         5   -1.0511136794e+01    1.1085660391e+02   -2.2038504053e+01    1.1527367259e+01   -7.2686077437e+00    6.3615576799e-01   -2.6303846372e+00   -1.2775667440e+01    5.1430000000e+03    1.6226371367e-01    9.8747882137e-01
         6   -1.0514036361e+01    1.1091069421e+02   -2.2079162447e+01    1.1565126086e+01   -7.2771654912e+00    6.2216241686e-01   -2.6484919322e+00   -1.2775667440e+01    5.2010000000e+03    1.6355443300e-01    9.8740112232e-01
         7   -1.0507715353e+01    1.1084119739e+02   -2.2249099716e+01    1.1741384363e+01   -7.4768745142e+00    6.5054879899e-01   -2.6471065608e+00   -1.2775667440e+01    5.1760000000e+03    1.6290843700e-01    9.8721745325e-01
         8   -1.0501077280e+01    1.1066105935e+02   -2.2241864261e+01    1.1740786980e+01   -7.5210212258e+00    6.6865914208e-01   -2.6138347366e+00   -1.2775667440e+01    5.1620000000e+03    1.6260527500e-01    9.8942736488e-01
         9   -1.0491456891e+01    1.1046044513e+02   -2.2226432845e+01    1.1734975954e+01   -7.5764303312e+00    6.8310184428e-01   -2.5574369180e+00   -1.2775667440e+01    5.1520000000e+03    1.6481934700e-01    9.8672843769e-01
        10   -1.0488558355e+01    1.1042955639e+02   -2.2285327559e+01    1.1796769204e+01   -7.5696087992e+00    6.4638931733e-01   -2.5864406371e+00   -1.2775667440e+01    5.1360000000e+03    1.6237869467e-01    9.8705461857e-01
        11   -1.0516005423e+01    1.1096989765e+02   -2.2241354402e+01    1.1725348979e+01   -7.5025345065e+00    6.5083607921e-01   -2.6139885345e+00   -1.2775667440e+01    5.1670000000e+03    1.6344635300e-01    9.8789263318e-01
        12   -1.0528161982e+01    1.1126720293e+02   -2.2244750411e+01    1.1716588429e+01   -7.5302792536e+00    7.0926508015e-01   -2.6480687973e+00   -1.2775667440e+01    5.1540000000e+03    1.6355289167e-01    9.8735260193e-01
        13   -1.0507002661e+01    1.1078165804e+02   -2.2316734504e+01    1.1809731844e+01   -7.5342058758e+00    6.4070810314e-01   -2.6475692916e+00   -1.2775667440e+01    5.1260000000e+03    1.6320116367e-01    9.8736401738e-01
        14   -1.0524225678e+01    1.1110182957e+02   -2.2182451652e+01    1.1658225974e+01   -7.4306784256e+00    6.7949554715e-01   -2.6556013332e+00   -1.2775667440e+01    5.0930000000e+03    1.6255518000e-01    9.8748707629e-01
        15   -1.0523937597e+01    1.1112420129e+02   -2.2008786801e+01    1.1484849204e+01   -7.1658965204e+00    6.0381703992e-01   -2.6710398805e+00   -1.2775667440e+01    5.0870000000e+03    1.6283829867e-01    9.8581043949e-01
        16   -1.0533922387e+01    1.1138610207e+02   -2.1860516836e+01    1.1326594449e+01   -7.1195123089e+00    6.7749218376e-01   -2.6428292706e+00   -1.2775667440e+01    5.0750000000e+03    1.6204501367e-01    9.8735997861e-01
        17   -1.0511645715e+01    1.1085141130e+02   -2.1977009890e+01    1.1465364175e+01   -7.1732494167e+00    6.2299572115e-01   -2.6510887541e+00   -1.2775667440e+01    5.0820000000e+03    1.6177874067e-01    9.8801685455e-01
        18   -1.0515128605e+01    1.1095142502e+02   -2.2064985126e+01    1.1549856520e+01   -7.2035609665e+00    5.4980828229e-01   -2.6355650013e+00   -1.2775667440e+01    5.1040000000e+03    1.6349211667e-01    9.8764603782e-01
        19   -1.0537441282e+01    1.1136948069e+02   -2.2123997076e+01    1.1586555794e+01   -7.1988416986e+00    5.4418070936e-01   -2.6936686466e+00   -1.2775667440e+01    5.1280000000e+03    1.6577324467e-01    9.8753947195e-01
