#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0445183987e+01    1.0946660186e+02   -2.2312449745e+01    1.1867265758e+01   -7.5459000279e+00    5.7030458032e-01   -2.5611868577e+00   -1.2775667440e+01    2.6400000000e+02    2.2166054000e-02    5.2949810606e-01
         1   -1.0539032826e+01    1.1145989709e+02   -2.2054767568e+01    1.1515734742e+01   -7.3935714905e+00    7.1360910214e-01   -2.5991377394e+00   -1.2775667440e+01    2.6400000000e+02    2.2184986000e-02    5.4256628788e-01
         2   -1.0400729302e+01    1.0853067075e+02   -2.1830187577e+01    1.1429458275e+01   -6.9452928286e+00    4.4727576988e-01   -2.5565030783e+00   -1.2775667440e+01    2.6400000000e+02    2.2364486000e-02    5.4147727273e-01
         3   -1.0491610817e+01    1.1037231797e+02   -2.1802864054e+01    1.1311253237e+01   -6.8533211674e+00    5.0995395400e-01   -2.6838294007e+00   -1.2775667440e+01    2.6400000000e+02    2.2259682000e-02    5.3570075758e-01
         4   -1.0530097481e+01    1.1128246488e+02   -2.2141896766e+01    1.1611799285e+01   -7.3766163283e+00    7.4443962640e-01   -2.7340526237e+00   -1.2775667440e+01    2.6400000000e+02    2.2775728000e-02    5.3044507576e-01
         5   -1.0523667219e+01    1.1103664575e+02   -2.1853241767e+01    1.1329574548e+01   -7.1912581787e+00    7.4891226441e-01   -2.6352284122e+00   -1.2775667440e+01    2.6400000000e+02    2.2511758000e-02    5.4474431818e-01
         6   -1.0466525339e+01    1.0988138090e+02   -2.2570268915e+01    1.2103743576e+01   -7.8796882945e+00    6.0931967329e-01   -2.5242328538e+00   -1.2775667440e+01    2.6400000000e+02    2.1756735000e-02    5.3702651515e-01
         7   -1.0454193538e+01    1.0978621567e+02   -2.2657572577e+01    1.2203379039e+01   -7.7716588953e+00    5.6057829534e-01   -2.6708245367e+00   -1.2775667440e+01    2.6400000000e+02    2.0977443000e-02    5.3896780303e-01
         8   -1.0467773447e+01    1.0990141595e+02   -2.2086993473e+01    1.1619220026e+01   -7.4383586132e+00    6.2649579256e-01   -2.4994632119e+00   -1.2775667440e+01    2.6400000000e+02    2.0968824000e-02    5.4256628788e-01
         9   -1.0483850196e+01    1.1026654481e+02   -2.2452603424e+01    1.1968753228e+01   -7.5511082775e+00    5.4833958097e-01   -2.6741672872e+00   -1.2775667440e+01    2.6400000000e+02    2.1181078000e-02    5.4057765152e-01
        10   -1.0443658782e+01    1.0951801485e+02   -2.2387759062e+01    1.1944100281e+01   -7.8323170757e+00    6.9877095288e-01   -2.4785454993e+00   -1.2775667440e+01    2.6400000000e+02    2.0444898000e-02    5.4019886364e-01
        11   -1.0449807637e+01    1.0955883985e+02   -2.1903440964e+01    1.1453633328e+01   -7.0725771433e+00    6.5631478040e-01   -2.7115111613e+00   -1.2775667440e+01    2.6400000000e+02    2.1173178000e-02    5.3982007576e-01
        12   -1.0506225153e+01    1.1070273161e+02   -2.2288566599e+01    1.1782341446e+01   -7.5928655501e+00    7.4361129729e-01   -2.6636449060e+00   -1.2775667440e+01    2.6400000000e+02    2.1563613000e-02    5.3191287879e-01
        13   -1.0491403144e+01    1.1041396641e+02   -2.1961828996e+01    1.1470425851e+01   -7.1986098566e+00    6.7050161952e-01   -2.6580533185e+00   -1.2775667440e+01    2.6400000000e+02    2.0614062000e-02    5.3191287879e-01
        14   -1.0500303213e+01    1.1068628181e+02   -2.2201015447e+01    1.1700712234e+01   -7.7874335573e+00    9.0144856637e-01   -2.5393630161e+00   -1.2775667440e+01    2.6400000000e+02    1.9545989000e-02    5.3442234848e-01
        15   -1.0434703137e+01    1.0934597451e+02   -2.2470445541e+01    1.2035742404e+01   -7.4750101917e+00    3.5153061814e-01   -2.5712985274e+00   -1.2775667440e+01    2.6400000000e+02    1.9712896000e-02    5.3783143939e-01
        16   -1.0458724821e+01    1.0970944248e+02   -2.2614146840e+01    1.2155422020e+01   -7.5373902502e+00    4.3030058899e-01   -2.7313897391e+00   -1.2775667440e+01    2.6400000000e+02    1.9155780000e-02    5.3958333333e-01
        17   -1.0514545628e+01    1.1084649626e+02   -2.1614889988e+01    1.1100344360e+01   -6.8241934435e+00    6.4495559856e-01   -2.6599847030e+00   -1.2775667440e+01    2.6400000000e+02    1.8756869000e-02    5.4005681818e-01
