#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0462171641e+01    1.0993550406e+02   -2.1939984901e+01    1.1477813261e+01   -7.3377361753e+00    6.3642749815e-01   -2.4630087841e+00   -1.2775667440e+01    5.1600000000e+02    2.2077210083e-02    5.3442344961e-01
         1   -1.0483821428e+01    1.1035905927e+02   -2.2338015321e+01    1.1854193893e+01   -7.4043123634e+00    5.4155414073e-01   -2.6995896582e+00   -1.2775667440e+01    5.1600000000e+02    2.2116710333e-02    5.3638565891e-01
         2   -1.0498264301e+01    1.1063695948e+02   -2.1828474199e+01    1.1330209898e+01   -7.1699137162e+00    6.7498842922e-01   -2.5578814719e+00   -1.2775667440e+01    5.1600000000e+02    2.2192830000e-02    5.3745155039e-01
         3   -1.0500867304e+01    1.1057330257e+02   -2.1961747642e+01    1.1460880338e+01   -7.2000586239e+00    6.6394918945e-01   -2.6499707675e+00   -1.2775667440e+01    5.1600000000e+02    2.2338510000e-02    5.3931686047e-01
         4   -1.0538293269e+01    1.1140338639e+02   -2.1889125013e+01    1.1350831743e+01   -7.0661725389e+00    6.0445272927e-01   -2.6517377627e+00   -1.2775667440e+01    5.1600000000e+02    2.2267743083e-02    5.3892926357e-01
         5   -1.0478228383e+01    1.1016926706e+02   -2.1894844704e+01    1.1416616321e+01   -7.1097193351e+00    5.6053244661e-01   -2.5699903756e+00   -1.2775667440e+01    5.1600000000e+02    2.2439844667e-02    5.3381782946e-01
         6   -1.0503082554e+01    1.1073564736e+02   -2.1987551298e+01    1.1484468745e+01   -7.3394801816e+00    7.3642826954e-01   -2.6088319457e+00   -1.2775667440e+01    5.1600000000e+02    2.2675762417e-02    5.4001937984e-01
         7   -1.0424942438e+01    1.0907980839e+02   -2.2354335251e+01    1.1929392813e+01   -7.5537494625e+00    5.8698453221e-01   -2.6119028804e+00   -1.2775667440e+01    5.1600000000e+02    2.2203323583e-02    5.4130329457e-01
         8   -1.0445702568e+01    1.0953859997e+02   -2.2219943535e+01    1.1774240966e+01   -7.5217046955e+00    6.0220415849e-01   -2.5247755575e+00   -1.2775667440e+01    5.1600000000e+02    2.2281103583e-02    5.3711240310e-01
         9   -1.0461948072e+01    1.0980885885e+02   -2.2599867859e+01    1.2137919787e+01   -7.7765558438e+00    5.6763162921e-01   -2.6152762045e+00   -1.2775667440e+01    5.1600000000e+02    2.2511863917e-02    5.3735465116e-01
        10   -1.0483151419e+01    1.1024375901e+02   -2.2156195680e+01    1.1673044261e+01   -7.2919745845e+00    5.0197656879e-01   -2.5905302243e+00   -1.2775667440e+01    5.1600000000e+02    2.2533780833e-02    5.3754844961e-01
