bond distance (a)       Energy (Ha)
             0.80          -9.90181
             0.90         -10.30684
             1.00         -10.52336
             1.10         -10.62545
             1.20         -10.66013
             1.30         -10.65667
             1.40         -10.63308
             1.50         -10.60022
             1.60         -10.56439
             1.70         -10.63832
             1.80         -10.60663
             1.90         -10.57490
             2.00         -10.54406
             3.00         -10.32442
             4.00         -10.22391
